+-------+-----+-----+-----+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-------------+-------------+-------------+-------------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |        URI         |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV |  MIN(BODY)  |  MAX(BODY)  |  SUM(BODY)  |  AVG(BODY)  |
+-------+-----+-----+-----+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-------------+-------------+-------------+-------------+
| 61    | 0   | 7   | 0   | 54  | 0   | GET    | /                  | 1.224  | 10.008 | 546.727 | 8.963  | 10.008 | 10.008 | 10.008 | 2.785  | 0.000       | 6042.000    | 41354.000   | 677.934     |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /@marjorie         | 0.472  | 9.984  | 10.456  | 5.228  | 9.984  | 9.984  | 9.984  | 4.756  | 2755.000    | 2850.000    | 5605.000    | 2802.500    |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@joann            | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@liz              | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@terrie           | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@bernadine        | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@ruthie           | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@sally            | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@carlene          | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@willie           | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@elise            | 9.996  | 9.996  | 9.996   | 9.996  | 9.996  | 9.996  | 9.996  | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /@patty            | 9.699  | 9.699  | 9.699   | 9.699  | 9.699  | 9.699  | 9.699  | 0.000  | 4029.000    | 4029.000    | 4029.000    | 4029.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /@katelyn          | 7.563  | 7.563  | 7.563   | 7.563  | 7.563  | 7.563  | 7.563  | 0.000  | 3534.000    | 3534.000    | 3534.000    | 3534.000    |
| 58    | 0   | 0   | 58  | 0   | 0   | POST   | /login             | 0.020  | 0.352  | 3.228   | 0.056  | 0.164  | 0.256  | 0.352  | 0.071  | 0.000       | 0.000       | 0.000       | 0.000       |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /posts/8814        | 0.056  | 1.400  | 1.456   | 0.728  | 1.400  | 1.400  | 1.400  | 0.672  | 1445.000    | 1511.000    | 2956.000    | 1478.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /posts/9363        | 1.096  | 1.096  | 1.096   | 1.096  | 1.096  | 1.096  | 1.096  | 0.000  | 1220.000    | 1220.000    | 1220.000    | 1220.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /posts/7821        | 0.648  | 0.648  | 0.648   | 0.648  | 0.648  | 0.648  | 0.648  | 0.000  | 1590.000    | 1590.000    | 1590.000    | 1590.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /posts/8358        | 0.648  | 0.648  | 0.648   | 0.648  | 0.648  | 0.648  | 0.648  | 0.000  | 1474.000    | 1474.000    | 1474.000    | 1474.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /posts/8324        | 0.644  | 0.644  | 0.644   | 0.644  | 0.644  | 0.644  | 0.644  | 0.000  | 1353.000    | 1353.000    | 1353.000    | 1353.000    |
| 4     | 0   | 0   | 4   | 0   | 0   | POST   | /register          | 0.012  | 0.104  | 0.276   | 0.069  | 0.104  | 0.104  | 0.104  | 0.037  | 0.000       | 0.000       | 0.000       | 0.000       |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/8358.png    | 0.004  | 0.156  | 0.160   | 0.080  | 0.156  | 0.156  | 0.156  | 0.076  | 713937.000  | 714279.000  | 1428216.000 | 714108.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /image/7055.jpg    | 0.156  | 0.156  | 0.156   | 0.156  | 0.156  | 0.156  | 0.156  | 0.000  | 164699.000  | 164699.000  | 164699.000  | 164699.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /image/4510.jpg    | 0.120  | 0.120  | 0.120   | 0.120  | 0.120  | 0.120  | 0.120  | 0.000  | 113011.000  | 113011.000  | 113011.000  | 113011.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /image/4741.jpg    | 0.108  | 0.108  | 0.108   | 0.108  | 0.108  | 0.108  | 0.108  | 0.000  | 76760.000   | 76760.000   | 76760.000   | 76760.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /image/7954.jpg    | 0.092  | 0.092  | 0.092   | 0.092  | 0.092  | 0.092  | 0.092  | 0.000  | 64211.000   | 64211.000   | 64211.000   | 64211.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /image/7417.jpg    | 0.092  | 0.092  | 0.092   | 0.092  | 0.092  | 0.092  | 0.092  | 0.000  | 94527.000   | 94527.000   | 94527.000   | 94527.000   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/8324.jpg    | 0.000  | 0.084  | 0.084   | 0.042  | 0.084  | 0.084  | 0.084  | 0.042  | 65925.000   | 65956.000   | 131881.000  | 65940.500   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /image/8832.jpg    | 0.080  | 0.080  | 0.080   | 0.080  | 0.080  | 0.080  | 0.080  | 0.000  | 84159.000   | 84159.000   | 84159.000   | 84159.000   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9363.jpg    | 0.000  | 0.072  | 0.072   | 0.036  | 0.072  | 0.072  | 0.072  | 0.036  | 71202.000   | 71240.000   | 142442.000  | 71221.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /image/761.jpg     | 0.068  | 0.068  | 0.068   | 0.068  | 0.068  | 0.068  | 0.068  | 0.000  | 63791.000   | 63791.000   | 63791.000   | 63791.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /posts/10011       | 0.056  | 0.056  | 0.056   | 0.056  | 0.056  | 0.056  | 0.056  | 0.000  | 818.000     | 818.000     | 818.000     | 818.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /initialize        | 0.036  | 0.036  | 0.036   | 0.036  | 0.036  | 0.036  | 0.036  | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 26    | 0   | 26  | 0   | 0   | 0   | GET    | /login             | 0.000  | 0.008  | 0.028   | 0.001  | 0.004  | 0.004  | 0.008  | 0.002  | 615.000     | 615.000     | 15990.000   | 615.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /image/4475.jpg    | 0.028  | 0.028  | 0.028   | 0.028  | 0.028  | 0.028  | 0.028  | 0.000  | 49531.000   | 49531.000   | 49531.000   | 49531.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /image/1044.jpg    | 0.024  | 0.024  | 0.024   | 0.024  | 0.024  | 0.024  | 0.024  | 0.000  | 65626.000   | 65626.000   | 65626.000   | 65626.000   |
| 2     | 0   | 0   | 1   | 1   | 0   | POST   | /                  | 0.004  | 0.012  | 0.016   | 0.008  | 0.012  | 0.012  | 0.012  | 0.004  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 1   | 0   | 0   | POST   | /comment           | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /image/6771.jpg    | 0.004  | 0.004  | 0.004   | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 277984.000  | 277984.000  | 277984.000  | 277984.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /image/5136.jpg    | 0.004  | 0.004  | 0.004   | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 88222.000   | 88222.000   | 88222.000   | 88222.000   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/7821.jpg    | 0.000  | 0.004  | 0.004   | 0.002  | 0.004  | 0.004  | 0.004  | 0.002  | 83784.000   | 83806.000   | 167590.000  | 83795.000   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9980.jpg    | 0.000  | 0.004  | 0.004   | 0.002  | 0.004  | 0.004  | 0.004  | 0.002  | 96003.000   | 96011.000   | 192014.000  | 96007.000   |
| 10    | 0   | 10  | 0   | 0   | 0   | GET    | /favicon.ico       | 0.000  | 0.004  | 0.004   | 0.000  | 0.000  | 0.004  | 0.004  | 0.001  | 43.000      | 43.000      | 430.000     | 43.000      |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/10000.png   | 0.000  | 0.004  | 0.004   | 0.002  | 0.004  | 0.004  | 0.004  | 0.002  | 1057122.000 | 1057873.000 | 2114995.000 | 1057497.500 |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9982.jpg    | 0.004  | 0.004  | 0.004   | 0.002  | 0.004  | 0.004  | 0.004  | 0.002  | 150046.000  | 150053.000  | 300099.000  | 150049.500  |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9998.jpg    | 0.004  | 0.004  | 0.004   | 0.002  | 0.004  | 0.004  | 0.004  | 0.002  | 61732.000   | 61739.000   | 123471.000  | 61735.500   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /image/355.jpg     | 0.004  | 0.004  | 0.004   | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 53268.000   | 53268.000   | 53268.000   | 53268.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /image/554.jpg     | 0.004  | 0.004  | 0.004   | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 82493.000   | 82493.000   | 82493.000   | 82493.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /image/125.jpg     | 0.004  | 0.004  | 0.004   | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 303224.000  | 303224.000  | 303224.000  | 303224.000  |
