+-------+-----+-----+-----+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-------------+-------------+-------------+-------------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |        URI         |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV |  MIN(BODY)  |  MAX(BODY)  |  SUM(BODY)  |  AVG(BODY)  |
+-------+-----+-----+-----+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-------------+-------------+-------------+-------------+
| 61    | 0   | 7   | 0   | 54  | 0   | GET    | /                  | 1.232  | 10.008 | 546.459 | 8.958  | 10.008 | 10.008 | 10.008 | 2.780  | 0.000       | 6038.000    | 41192.000   | 675.279     |
| 2     | 0   | 0   | 0   | 2   | 0   | GET    | /@dorothea         | 10.000 | 10.000 | 20.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@adeline          | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@constance        | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@rosalinda        | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@ana              | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@kasey            | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@janet            | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@susanne          | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@madeline         | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /@janette          | 6.016  | 6.016  | 6.016   | 6.016  | 6.016  | 6.016  | 6.016  | 0.000  | 2777.000    | 2777.000    | 2777.000    | 2777.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /@marian           | 5.080  | 5.080  | 5.080   | 5.080  | 5.080  | 5.080  | 5.080  | 0.000  | 2581.000    | 2581.000    | 2581.000    | 2581.000    |
| 58    | 0   | 0   | 58  | 0   | 0   | POST   | /login             | 0.020  | 0.364  | 3.716   | 0.064  | 0.188  | 0.316  | 0.364  | 0.084  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /posts/1316        | 1.088  | 1.088  | 1.088   | 1.088  | 1.088  | 1.088  | 1.088  | 0.000  | 1365.000    | 1365.000    | 1365.000    | 1365.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /posts/324         | 0.732  | 0.732  | 0.732   | 0.732  | 0.732  | 0.732  | 0.732  | 0.000  | 1312.000    | 1312.000    | 1312.000    | 1312.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /posts/3843        | 0.708  | 0.708  | 0.708   | 0.708  | 0.708  | 0.708  | 0.708  | 0.000  | 1413.000    | 1413.000    | 1413.000    | 1413.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /posts/2628        | 0.695  | 0.695  | 0.695   | 0.695  | 0.695  | 0.695  | 0.695  | 0.000  | 1524.000    | 1524.000    | 1524.000    | 1524.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /posts/1664        | 0.688  | 0.688  | 0.688   | 0.688  | 0.688  | 0.688  | 0.688  | 0.000  | 1181.000    | 1181.000    | 1181.000    | 1181.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /posts/5785        | 0.680  | 0.680  | 0.680   | 0.680  | 0.680  | 0.680  | 0.680  | 0.000  | 1203.000    | 1203.000    | 1203.000    | 1203.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /posts/9937        | 0.676  | 0.676  | 0.676   | 0.676  | 0.676  | 0.676  | 0.676  | 0.000  | 1551.000    | 1551.000    | 1551.000    | 1551.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /posts/874         | 0.668  | 0.668  | 0.668   | 0.668  | 0.668  | 0.668  | 0.668  | 0.000  | 1399.000    | 1399.000    | 1399.000    | 1399.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /posts/1652        | 0.664  | 0.664  | 0.664   | 0.664  | 0.664  | 0.664  | 0.664  | 0.000  | 1112.000    | 1112.000    | 1112.000    | 1112.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /posts/6972        | 0.663  | 0.663  | 0.663   | 0.663  | 0.663  | 0.663  | 0.663  | 0.000  | 1118.000    | 1118.000    | 1118.000    | 1118.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /posts/3010        | 0.656  | 0.656  | 0.656   | 0.656  | 0.656  | 0.656  | 0.656  | 0.000  | 1370.000    | 1370.000    | 1370.000    | 1370.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /posts/6299        | 0.656  | 0.656  | 0.656   | 0.656  | 0.656  | 0.656  | 0.656  | 0.000  | 1226.000    | 1226.000    | 1226.000    | 1226.000    |
