+-------+-----+------+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+---------------+-------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   |  AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+---------------+-------------+
| 732   | 0   | 732  | 0   | 0   | 0   | GET    | /                  | 0.056 | 0.580 | 246.784 | 0.337 | 0.444 | 0.484 | 0.544 | 0.086  | 2724.000    | 6037.000    | 2506408.000   | 3424.055    |
| 160   | 0   | 160  | 0   | 0   | 0   | GET    | /posts             | 0.092 | 0.800 | 81.136  | 0.507 | 0.664 | 0.676 | 0.768 | 0.141  | 4971.000    | 5785.000    | 855260.000    | 5345.375    |
| 536   | 0   | 0    | 536 | 0   | 0   | POST   | /login             | 0.024 | 0.204 | 24.176  | 0.045 | 0.084 | 0.100 | 0.132 | 0.031  | 0.000       | 0.000       | 0.000         | 0.000       |
| 122   | 0   | 0    | 61  | 61  | 0   | POST   | /                  | 0.000 | 0.440 | 8.876   | 0.073 | 0.228 | 0.256 | 0.432 | 0.095  | 0.000       | 0.000       | 0.000         | 0.000       |
| 75    | 0   | 0    | 75  | 0   | 0   | POST   | /register          | 0.016 | 0.224 | 5.740   | 0.077 | 0.136 | 0.164 | 0.224 | 0.043  | 0.000       | 0.000       | 0.000         | 0.000       |
| 1219  | 0   | 1219 | 0   | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.052 | 2.756   | 0.002 | 0.008 | 0.012 | 0.024 | 0.005  | 1915.000    | 1915.000    | 2334385.000   | 1915.000    |
| 1219  | 0   | 1219 | 0   | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.044 | 2.696   | 0.002 | 0.008 | 0.012 | 0.024 | 0.005  | 43.000      | 43.000      | 52417.000     | 43.000      |
| 141   | 0   | 141  | 0   | 0   | 0   | GET    | /image/10027.png   | 0.004 | 0.084 | 2.388   | 0.017 | 0.036 | 0.064 | 0.084 | 0.017  | 971326.000  | 972021.000  | 137042637.000 | 971933.596  |
| 1219  | 0   | 1219 | 0   | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.068 | 2.328   | 0.002 | 0.004 | 0.012 | 0.020 | 0.005  | 1824.000    | 1824.000    | 2223456.000   | 1824.000    |
| 1219  | 0   | 1219 | 0   | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.060 | 2.188   | 0.002 | 0.004 | 0.008 | 0.020 | 0.005  | 1549.000    | 1549.000    | 1888231.000   | 1549.000    |
| 127   | 0   | 127  | 0   | 0   | 0   | GET    | /image/10044.png   | 0.000 | 0.140 | 2.176   | 0.017 | 0.040 | 0.052 | 0.108 | 0.021  | 784747.000  | 785242.000  | 99720350.000  | 785199.606  |
| 127   | 0   | 127  | 0   | 0   | 0   | GET    | /image/10037.png   | 0.004 | 0.096 | 2.020   | 0.016 | 0.036 | 0.056 | 0.080 | 0.016  | 1010090.000 | 1010824.000 | 128365237.000 | 1010749.898 |
| 136   | 0   | 136  | 0   | 0   | 0   | GET    | /image/10030.png   | 0.004 | 0.124 | 1.988   | 0.015 | 0.032 | 0.056 | 0.108 | 0.018  | 976332.000  | 977019.000  | 132866114.000 | 976956.721  |
| 131   | 0   | 131  | 0   | 0   | 0   | GET    | /image/10043.jpg   | 0.000 | 0.208 | 1.940   | 0.015 | 0.032 | 0.060 | 0.168 | 0.028  | 119786.000  | 119809.000  | 15692828.000  | 119792.580  |
| 69    | 0   | 0    | 69  | 0   | 0   | POST   | /comment           | 0.008 | 0.100 | 1.904   | 0.028 | 0.056 | 0.084 | 0.100 | 0.021  | 0.000       | 0.000       | 0.000         | 0.000       |
| 126   | 0   | 126  | 0   | 0   | 0   | GET    | /image/10038.png   | 0.004 | 0.108 | 1.856   | 0.015 | 0.040 | 0.052 | 0.092 | 0.018  | 919522.000  | 920160.000  | 115932205.000 | 920096.865  |
