+-------+-----+------+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+---------------+-------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   |  AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+---------------+-------------+
| 735   | 0   | 735  | 0   | 0   | 0   | GET    | /                  | 0.052 | 0.644 | 251.116 | 0.342 | 0.456 | 0.488 | 0.556 | 0.086  | 2660.000    | 6040.000    | 2481165.000   | 3375.735    |
| 160   | 0   | 160  | 0   | 0   | 0   | GET    | /posts             | 0.052 | 0.820 | 83.932  | 0.525 | 0.668 | 0.720 | 0.804 | 0.133  | 4965.000    | 5831.000    | 856501.000    | 5353.131    |
| 954   | 0   | 954  | 0   | 0   | 0   | GET    | /posts/[0-9]+      | 0.004 | 0.276 | 46.664  | 0.049 | 0.108 | 0.140 | 0.180 | 0.042  | 729.000     | 1905.000    | 1238963.000   | 1298.703    |
| 541   | 0   | 0    | 541 | 0   | 0   | POST   | /login             | 0.024 | 0.204 | 23.892  | 0.044 | 0.088 | 0.108 | 0.144 | 0.032  | 0.000       | 0.000       | 0.000         | 0.000       |
| 128   | 0   | 0    | 64  | 64  | 0   | POST   | /                  | 0.004 | 0.432 | 7.392   | 0.058 | 0.156 | 0.192 | 0.272 | 0.073  | 0.000       | 0.000       | 0.000         | 0.000       |
| 73    | 0   | 0    | 73  | 0   | 0   | POST   | /register          | 0.012 | 0.320 | 5.408   | 0.074 | 0.132 | 0.144 | 0.320 | 0.047  | 0.000       | 0.000       | 0.000         | 0.000       |
| 1291  | 0   | 1291 | 0   | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.084 | 2.944   | 0.002 | 0.008 | 0.012 | 0.024 | 0.005  | 43.000      | 43.000      | 55513.000     | 43.000      |
| 1291  | 0   | 1291 | 0   | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.060 | 2.744   | 0.002 | 0.008 | 0.012 | 0.028 | 0.005  | 1915.000    | 1915.000    | 2472265.000   | 1915.000    |
| 70    | 0   | 0    | 70  | 0   | 0   | POST   | /comment           | 0.004 | 0.144 | 2.592   | 0.037 | 0.092 | 0.120 | 0.144 | 0.034  | 0.000       | 0.000       | 0.000         | 0.000       |
| 1291  | 0   | 1291 | 0   | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.052 | 2.440   | 0.002 | 0.004 | 0.008 | 0.020 | 0.005  | 1824.000    | 1824.000    | 2354784.000   | 1824.000    |
