+-------+-----+-------+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+------------+
| 737   | 0   | 737   | 0   | 0   | 0   | GET    | /                  | 0.052 | 0.648 | 253.864 | 0.344 | 0.464 | 0.496 | 0.564 | 0.092  | 2568.000  | 6043.000    | 2485604.000    | 3372.597   |
| 12958 | 0   | 12958 | 0   | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.308 | 131.808 | 0.010 | 0.024 | 0.040 | 0.084 | 0.016  | 36603.000 | 1057911.000 | 4002191739.000 | 308858.754 |
| 160   | 0   | 160   | 0   | 0   | 0   | GET    | /posts             | 0.064 | 0.752 | 83.324  | 0.521 | 0.668 | 0.712 | 0.748 | 0.145  | 4965.000  | 5801.000    | 855495.000     | 5346.844   |
| 161   | 0   | 161   | 0   | 0   | 0   | GET    | /@\w+              | 0.040 | 0.580 | 62.372  | 0.387 | 0.520 | 0.548 | 0.580 | 0.097  | 1626.000  | 5197.000    | 510108.000     | 3168.373   |
| 999   | 0   | 999   | 0   | 0   | 0   | GET    | /posts/[0-9]+      | 0.004 | 0.212 | 48.456  | 0.049 | 0.104 | 0.124 | 0.180 | 0.039  | 715.000   | 1864.000    | 1299349.000    | 1300.650   |
| 539   | 0   | 0     | 539 | 0   | 0   | POST   | /login             | 0.036 | 0.172 | 23.936  | 0.044 | 0.084 | 0.104 | 0.136 | 0.031  | 0.000     | 0.000       | 0.000          | 0.000      |
| 124   | 0   | 0     | 62  | 62  | 0   | POST   | /                  | 0.004 | 0.316 | 7.572   | 0.061 | 0.192 | 0.244 | 0.288 | 0.076  | 0.000     | 0.000       | 0.000          | 0.000      |
| 73    | 0   | 0     | 73  | 0   | 0   | POST   | /register          | 0.016 | 0.228 | 5.788   | 0.079 | 0.128 | 0.152 | 0.228 | 0.039  | 0.000     | 0.000       | 0.000          | 0.000      |
| 1358  | 0   | 1358  | 0   | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.052 | 3.156   | 0.002 | 0.008 | 0.012 | 0.024 | 0.005  | 43.000    | 43.000      | 58394.000      | 43.000     |
| 1358  | 0   | 1358  | 0   | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.088 | 2.884   | 0.002 | 0.004 | 0.008 | 0.028 | 0.006  | 1915.000  | 1915.000    | 2600570.000    | 1915.000   |
| 1358  | 0   | 1358  | 0   | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.076 | 2.668   | 0.002 | 0.004 | 0.008 | 0.028 | 0.005  | 1824.000  | 1824.000    | 2476992.000    | 1824.000   |
| 1358  | 0   | 1358  | 0   | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.064 | 2.604   | 0.002 | 0.004 | 0.008 | 0.024 | 0.005  | 1549.000  | 1549.000    | 2103542.000    | 1549.000   |
| 69    | 0   | 0     | 69  | 0   | 0   | POST   | /comment           | 0.008 | 0.204 | 1.988   | 0.029 | 0.048 | 0.076 | 0.204 | 0.033  | 0.000     | 0.000       | 0.000          | 0.000      |
| 182   | 0   | 182   | 0   | 0   | 0   | GET    | /login             | 0.000 | 0.052 | 0.872   | 0.005 | 0.016 | 0.020 | 0.036 | 0.008  | 615.000   | 615.000     | 111930.000     | 615.000    |
| 73    | 0   | 0     | 0   | 73  | 0   | GET    | /admin/banned      | 0.004 | 0.056 | 0.584   | 0.008 | 0.016 | 0.036 | 0.056 | 0.011  | 0.000     | 0.000       | 0.000          | 0.000      |
| 1     | 0   | 1     | 0   | 0   | 0   | GET    | /initialize        | 0.472 | 0.472 | 0.472   | 0.472 | 0.472 | 0.472 | 0.472 | 0.000  | 0.000     | 0.000       | 0.000          | 0.000      |
| 91    | 0   | 0     | 91  | 0   | 0   | GET    | /logout            | 0.000 | 0.052 | 0.392   | 0.004 | 0.012 | 0.020 | 0.052 | 0.009  | 24.000    | 24.000      | 2184.000       | 24.000     |
+-------+-----+-------+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+------------+
