+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+------------+
| 740   | 0   | 740   | 0    | 0   | 0   | GET    | /                  | 0.056 | 0.624 | 260.168 | 0.352 | 0.464 | 0.500 | 0.560 | 0.088  | 2615.000  | 6046.000    | 2478966.000    | 3349.954   |
| 13281 | 0   | 13281 | 0    | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.200 | 127.572 | 0.010 | 0.024 | 0.036 | 0.080 | 0.015  | 36603.000 | 1087854.000 | 3872721485.000 | 291598.636 |
| 160   | 0   | 160   | 0    | 0   | 0   | GET    | /posts             | 0.056 | 0.740 | 83.720  | 0.523 | 0.672 | 0.708 | 0.736 | 0.134  | 4965.000  | 5798.000    | 856486.000     | 5353.038   |
| 173   | 0   | 173   | 0    | 0   | 0   | GET    | /@\w+              | 0.040 | 0.620 | 68.008  | 0.393 | 0.516 | 0.560 | 0.616 | 0.102  | 1541.000  | 5475.000    | 557894.000     | 3224.821   |
| 1123  | 0   | 1123  | 0    | 0   | 0   | GET    | /posts/[0-9]+      | 0.004 | 0.232 | 52.236  | 0.047 | 0.104 | 0.128 | 0.168 | 0.038  | 759.000   | 1944.000    | 1457918.000    | 1298.235   |
| 545   | 0   | 0     | 545  | 0   | 0   | POST   | /login             | 0.036 | 0.172 | 22.744  | 0.042 | 0.080 | 0.096 | 0.140 | 0.030  | 0.000     | 0.000       | 0.000          | 0.000      |
| 122   | 0   | 0     | 61   | 61  | 0   | POST   | /                  | 0.004 | 0.332 | 7.092   | 0.058 | 0.152 | 0.204 | 0.304 | 0.070  | 0.000     | 0.000       | 0.000          | 0.000      |
| 72    | 0   | 0     | 72   | 0   | 0   | POST   | /register          | 0.016 | 0.156 | 5.088   | 0.071 | 0.124 | 0.140 | 0.156 | 0.033  | 0.000     | 0.000       | 0.000          | 0.000      |
| 72    | 0   | 0     | 72   | 0   | 0   | POST   | /comment           | 0.004 | 0.104 | 1.664   | 0.023 | 0.048 | 0.060 | 0.104 | 0.018  | 0.000     | 0.000       | 0.000          | 0.000      |
| 186   | 0   | 186   | 0    | 0   | 0   | GET    | /login             | 0.008 | 0.052 | 0.836   | 0.004 | 0.012 | 0.016 | 0.040 | 0.007  | 615.000   | 615.000     | 114390.000     | 615.000    |
| 72    | 0   | 0     | 0    | 72  | 0   | GET    | /admin/banned      | 0.000 | 0.048 | 0.548   | 0.008 | 0.020 | 0.036 | 0.048 | 0.010  | 0.000     | 0.000       | 0.000          | 0.000      |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /initialize        | 0.504 | 0.504 | 0.504   | 0.504 | 0.504 | 0.504 | 0.504 | 0.000  | 0.000     | 0.000       | 0.000          | 0.000      |
| 93    | 0   | 0     | 93   | 0   | 0   | GET    | /logout            | 0.004 | 0.032 | 0.252   | 0.003 | 0.008 | 0.012 | 0.032 | 0.005  | 24.000    | 24.000      | 2232.000       | 24.000     |
| 1493  | 0   | 1     | 1492 | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000         | 0.029      |
| 1493  | 0   | 1     | 1492 | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000       | 1.283      |
| 1493  | 0   | 1     | 1492 | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000       | 1.222      |
| 1493  | 0   | 1     | 1492 | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000       | 1.038      |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+------------+
