+-------+-----+------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+-----------+
| COUNT | 1XX | 2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY) |
+-------+-----+------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+-----------+
| 919   | 0   | 919  | 0    | 0   | 0   | GET    | /                  | 0.056 | 0.664 | 323.538 | 0.352 | 0.464 | 0.500 | 0.564 | 0.087  | 2657.000  | 6048.000    | 3004674.000    | 3269.504  |
| 160   | 0   | 160  | 0    | 0   | 0   | GET    | /posts             | 0.056 | 0.876 | 87.442  | 0.547 | 0.724 | 0.756 | 0.820 | 0.169  | 4965.000  | 5785.000    | 855610.000     | 5347.562  |
| 174   | 0   | 174  | 0    | 0   | 0   | GET    | /@\w+              | 0.040 | 0.776 | 73.875  | 0.425 | 0.584 | 0.680 | 0.752 | 0.117  | 1432.000  | 5366.000    | 557687.000     | 3205.098  |
| 16754 | 0   | 6801 | 9953 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.200 | 58.590  | 0.003 | 0.008 | 0.016 | 0.052 | 0.011  | 48014.000 | 1057904.000 | 1034629264.000 | 61754.164 |
| 1189  | 0   | 1189 | 0    | 0   | 0   | GET    | /posts/[0-9]+      | 0.004 | 0.268 | 49.487  | 0.042 | 0.108 | 0.148 | 0.204 | 0.045  | 724.000   | 1898.000    | 1542510.000    | 1297.317  |
| 664   | 0   | 0    | 664  | 0   | 0   | POST   | /login             | 0.020 | 0.228 | 27.420  | 0.041 | 0.088 | 0.116 | 0.164 | 0.035  | 0.000     | 0.000       | 0.000          | 0.000     |
| 73    | 0   | 0    | 73   | 0   | 0   | POST   | /register          | 0.016 | 0.200 | 5.280   | 0.072 | 0.140 | 0.168 | 0.200 | 0.045  | 0.000     | 0.000       | 0.000          | 0.000     |
| 136   | 0   | 0    | 68   | 68  | 0   | POST   | /                  | 0.004 | 0.152 | 3.228   | 0.024 | 0.064 | 0.096 | 0.140 | 0.030  | 0.000     | 0.000       | 0.000          | 0.000     |
| 68    | 0   | 0    | 68   | 0   | 0   | POST   | /comment           | 0.004 | 0.120 | 1.748   | 0.026 | 0.052 | 0.084 | 0.120 | 0.024  | 0.000     | 0.000       | 0.000          | 0.000     |
| 258   | 0   | 258  | 0    | 0   | 0   | GET    | /login             | 0.004 | 0.068 | 1.212   | 0.005 | 0.016 | 0.028 | 0.056 | 0.010  | 615.000   | 615.000     | 158670.000     | 615.000   |
| 129   | 0   | 0    | 129  | 0   | 0   | GET    | /logout            | 0.000 | 0.116 | 0.460   | 0.004 | 0.008 | 0.012 | 0.036 | 0.012  | 24.000    | 24.000      | 3096.000       | 24.000    |
| 73    | 0   | 0    | 0    | 73  | 0   | GET    | /admin/banned      | 0.000 | 0.032 | 0.340   | 0.005 | 0.012 | 0.016 | 0.032 | 0.006  | 0.000     | 0.000       | 0.000          | 0.000     |
| 1     | 0   | 1    | 0    | 0   | 0   | GET    | /initialize        | 0.032 | 0.032 | 0.032   | 0.032 | 0.032 | 0.032 | 0.032 | 0.000  | 0.000     | 0.000       | 0.000          | 0.000     |
| 1728  | 0   | 1    | 1727 | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000         | 0.025     |
| 1728  | 0   | 1    | 1727 | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000       | 1.108     |
| 1728  | 0   | 1    | 1727 | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000       | 1.056     |
| 1728  | 0   | 1    | 1727 | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000       | 0.896     |
+-------+-----+------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+-----------+
