+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+-----------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY) |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+-----------+
| 2610  | 0   | 2610  | 0     | 0   | 0   | GET    | /                  | 0.012 | 0.252 | 232.412 | 0.089 | 0.124 | 0.144 | 0.196 | 0.030  | 2604.000  | 6045.000    | 7643351.000    | 2928.487  |
| 302   | 0   | 302   | 0     | 0   | 0   | GET    | /@\w+              | 0.044 | 0.412 | 80.548  | 0.267 | 0.336 | 0.364 | 0.388 | 0.053  | 1790.000  | 5141.000    | 977037.000     | 3235.222  |
| 360   | 0   | 360   | 0     | 0   | 0   | GET    | /posts             | 0.020 | 0.308 | 69.180  | 0.192 | 0.240 | 0.252 | 0.284 | 0.039  | 4965.000  | 5785.000    | 1927846.000    | 5355.128  |
| 45274 | 0   | 12162 | 33112 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.136 | 66.091  | 0.001 | 0.004 | 0.008 | 0.016 | 0.004  | 49308.000 | 1155222.000 | 1754033310.000 | 38742.619 |
| 1710  | 0   | 0     | 1710  | 0   | 0   | POST   | /login             | 0.004 | 0.140 | 64.288  | 0.038 | 0.072 | 0.084 | 0.108 | 0.026  | 0.000     | 0.000       | 0.000          | 0.000     |
| 1985  | 0   | 1985  | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.004 | 0.108 | 45.704  | 0.023 | 0.040 | 0.048 | 0.060 | 0.013  | 719.000   | 1924.000    | 2531378.000    | 1275.253  |
| 202   | 0   | 0     | 202   | 0   | 0   | POST   | /register          | 0.016 | 0.416 | 11.992  | 0.059 | 0.084 | 0.096 | 0.120 | 0.034  | 0.000     | 0.000       | 0.000          | 0.000     |
| 348   | 0   | 0     | 174   | 174 | 0   | POST   | /                  | 0.004 | 0.300 | 6.500   | 0.019 | 0.044 | 0.056 | 0.072 | 0.022  | 0.000     | 0.000       | 0.000          | 0.000     |
| 131   | 0   | 0     | 131   | 0   | 0   | POST   | /comment           | 0.004 | 0.228 | 2.172   | 0.017 | 0.024 | 0.028 | 0.052 | 0.020  | 0.000     | 0.000       | 0.000          | 0.000     |
| 686   | 0   | 686   | 0     | 0   | 0   | GET    | /login             | 0.004 | 0.024 | 1.120   | 0.002 | 0.004 | 0.008 | 0.012 | 0.003  | 615.000   | 615.000     | 421890.000     | 615.000   |
| 202   | 0   | 0     | 0     | 202 | 0   | GET    | /admin/banned      | 0.004 | 0.024 | 0.884   | 0.004 | 0.008 | 0.012 | 0.016 | 0.004  | 0.000     | 0.000       | 0.000          | 0.000     |
| 343   | 0   | 0     | 343   | 0   | 0   | GET    | /logout            | 0.000 | 0.016 | 0.588   | 0.002 | 0.004 | 0.008 | 0.008 | 0.003  | 24.000    | 24.000      | 8232.000       | 24.000    |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /initialize        | 0.032 | 0.032 | 0.032   | 0.032 | 0.032 | 0.032 | 0.032 | 0.000  | 0.000     | 0.000       | 0.000          | 0.000     |
| 3578  | 0   | 1     | 3577  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000         | 0.012     |
| 3578  | 0   | 1     | 3577  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000       | 0.535     |
| 3578  | 0   | 1     | 3577  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000       | 0.510     |
| 3578  | 0   | 1     | 3577  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000       | 0.433     |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+-----------+
