+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+-----------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY) |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+-----------+
| 3127  | 0   | 3127  | 0     | 0   | 0   | GET    | /                  | 0.012 | 0.196 | 195.068 | 0.062 | 0.088 | 0.100 | 0.140 | 0.021  | 2543.000  | 6047.000    | 8987990.000    | 2874.317  |
| 1927  | 0   | 0     | 1927  | 0   | 0   | POST   | /login             | 0.004 | 0.188 | 86.428  | 0.045 | 0.080 | 0.092 | 0.116 | 0.029  | 0.000     | 0.000       | 0.000          | 0.000     |
| 55210 | 0   | 14094 | 41116 | 0   | 0   | GET    | /image/[0-9]+      | 0.004 | 0.252 | 83.402  | 0.002 | 0.004 | 0.008 | 0.020 | 0.004  | 36885.000 | 1253020.000 | 2030951002.000 | 36785.926 |
| 343   | 0   | 343   | 0     | 0   | 0   | GET    | /@\w+              | 0.036 | 0.388 | 78.472  | 0.229 | 0.288 | 0.312 | 0.364 | 0.047  | 1485.000  | 5312.000    | 1116598.000    | 3255.388  |
| 440   | 0   | 440   | 0     | 0   | 0   | GET    | /posts             | 0.016 | 0.224 | 56.936  | 0.129 | 0.164 | 0.180 | 0.200 | 0.032  | 4965.000  | 5785.000    | 2357684.000    | 5358.373  |
| 2260  | 0   | 2260  | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.004 | 0.072 | 39.912  | 0.018 | 0.032 | 0.036 | 0.048 | 0.010  | 717.000   | 1908.000    | 2883555.000    | 1275.909  |
| 229   | 0   | 0     | 229   | 0   | 0   | POST   | /register          | 0.012 | 0.168 | 14.672  | 0.064 | 0.096 | 0.100 | 0.120 | 0.023  | 0.000     | 0.000       | 0.000          | 0.000     |
| 392   | 0   | 0     | 196   | 196 | 0   | POST   | /                  | 0.000 | 0.088 | 7.168   | 0.018 | 0.044 | 0.056 | 0.072 | 0.017  | 0.000     | 0.000       | 0.000          | 0.000     |
| 157   | 0   | 0     | 157   | 0   | 0   | POST   | /comment           | 0.004 | 0.032 | 2.132   | 0.014 | 0.020 | 0.024 | 0.028 | 0.005  | 0.000     | 0.000       | 0.000          | 0.000     |
| 766   | 0   | 766   | 0     | 0   | 0   | GET    | /login             | 0.004 | 0.020 | 1.760   | 0.002 | 0.004 | 0.008 | 0.012 | 0.003  | 615.000   | 615.000     | 471090.000     | 615.000   |
| 229   | 0   | 0     | 0     | 229 | 0   | GET    | /admin/banned      | 0.020 | 0.024 | 1.056   | 0.005 | 0.012 | 0.016 | 0.020 | 0.005  | 0.000     | 0.000       | 0.000          | 0.000     |
| 383   | 0   | 0     | 383   | 0   | 0   | GET    | /logout            | 0.004 | 0.020 | 1.004   | 0.003 | 0.008 | 0.008 | 0.016 | 0.003  | 24.000    | 24.000      | 9192.000       | 24.000    |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /initialize        | 0.048 | 0.048 | 0.048   | 0.048 | 0.048 | 0.048 | 0.048 | 0.000  | 0.000     | 0.000       | 0.000          | 0.000     |
| 4213  | 0   | 1     | 4212  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000         | 0.010     |
| 4213  | 0   | 1     | 4212  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000       | 0.455     |
| 4213  | 0   | 1     | 4212  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000       | 0.433     |
| 4213  | 0   | 1     | 4212  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000       | 0.368     |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+-----------+
