+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+-----------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY) |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+-----------+
| 3268  | 0   | 3268  | 0     | 0   | 0   | GET    | /                  | 0.008 | 0.192 | 188.673 | 0.058 | 0.080 | 0.092 | 0.124 | 0.020  | 2510.000  | 6047.000    | 9211091.000    | 2818.571  |
| 1990  | 0   | 0     | 1990  | 0   | 0   | POST   | /login             | 0.024 | 0.148 | 94.114  | 0.047 | 0.088 | 0.100 | 0.120 | 0.031  | 0.000     | 0.000       | 0.000          | 0.000     |
| 57546 | 0   | 15057 | 42489 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.216 | 89.642  | 0.002 | 0.004 | 0.008 | 0.020 | 0.004  | 39492.000 | 1266266.000 | 2122769442.000 | 36888.219 |
| 432   | 0   | 432   | 0     | 0   | 0   | GET    | /@\w+              | 0.024 | 0.260 | 57.195  | 0.132 | 0.172 | 0.184 | 0.232 | 0.030  | 1404.000  | 5421.000    | 1413822.000    | 3272.736  |
| 450   | 0   | 450   | 0     | 0   | 0   | GET    | /posts             | 0.012 | 0.208 | 53.347  | 0.119 | 0.156 | 0.168 | 0.184 | 0.030  | 4965.000  | 5827.000    | 2406271.000    | 5347.269  |
| 2692  | 0   | 2692  | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.000 | 0.100 | 46.011  | 0.017 | 0.028 | 0.036 | 0.044 | 0.010  | 703.000   | 1991.000    | 3459978.000    | 1285.282  |
| 235   | 0   | 0     | 235   | 0   | 0   | POST   | /register          | 0.016 | 0.144 | 15.700  | 0.067 | 0.100 | 0.112 | 0.132 | 0.025  | 0.000     | 0.000       | 0.000          | 0.000     |
| 400   | 0   | 0     | 200   | 200 | 0   | POST   | /                  | 0.008 | 0.092 | 7.400   | 0.018 | 0.044 | 0.056 | 0.072 | 0.017  | 0.000     | 0.000       | 0.000          | 0.000     |
| 209   | 0   | 0     | 209   | 0   | 0   | POST   | /comment           | 0.004 | 0.112 | 3.260   | 0.016 | 0.024 | 0.036 | 0.052 | 0.011  | 0.000     | 0.000       | 0.000          | 0.000     |
| 764   | 0   | 764   | 0     | 0   | 0   | GET    | /login             | 0.000 | 0.028 | 1.916   | 0.003 | 0.004 | 0.008 | 0.012 | 0.003  | 615.000   | 615.000     | 469860.000     | 615.000   |
| 235   | 0   | 0     | 0     | 235 | 0   | GET    | /admin/banned      | 0.004 | 0.020 | 1.108   | 0.005 | 0.012 | 0.016 | 0.020 | 0.004  | 0.000     | 0.000       | 0.000          | 0.000     |
| 382   | 0   | 0     | 382   | 0   | 0   | GET    | /logout            | 0.000 | 0.020 | 1.060   | 0.003 | 0.008 | 0.008 | 0.016 | 0.003  | 24.000    | 24.000      | 9168.000       | 24.000    |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /initialize        | 0.748 | 0.748 | 0.748   | 0.748 | 0.748 | 0.748 | 0.748 | 0.000  | 0.000     | 0.000       | 0.000          | 0.000     |
| 4695  | 0   | 1     | 4694  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000         | 0.009     |
| 4695  | 0   | 1     | 4694  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000       | 0.408     |
| 4695  | 0   | 1     | 4694  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000       | 0.388     |
| 4695  | 0   | 1     | 4694  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000       | 0.330     |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+-----------+
