+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+-----------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY) |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+-----------+
| 3516  | 0   | 3516  | 0     | 0   | 0   | GET    | /                  | 0.004 | 0.212 | 173.448 | 0.049 | 0.076 | 0.088 | 0.120 | 0.022  | 2529.000  | 6041.000    | 10071592.000   | 2864.503  |
| 2077  | 0   | 0     | 2077  | 0   | 0   | POST   | /login             | 0.004 | 0.184 | 99.620  | 0.048 | 0.092 | 0.104 | 0.132 | 0.033  | 0.000     | 0.000       | 0.000          | 0.000     |
| 61201 | 0   | 14903 | 46298 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.104 | 99.615  | 0.002 | 0.008 | 0.012 | 0.020 | 0.004  | 49308.000 | 1095388.000 | 2106817563.000 | 34424.561 |
| 447   | 0   | 447   | 0     | 0   | 0   | GET    | /@\w+              | 0.024 | 0.228 | 55.472  | 0.124 | 0.168 | 0.184 | 0.216 | 0.034  | 1404.000  | 5274.000    | 1444559.000    | 3231.676  |
| 440   | 0   | 440   | 0     | 0   | 0   | GET    | /posts             | 0.012 | 0.200 | 46.884  | 0.107 | 0.148 | 0.156 | 0.172 | 0.031  | 4965.000  | 5785.000    | 2354671.000    | 5351.525  |
| 2702  | 0   | 2702  | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.008 | 0.064 | 45.880  | 0.017 | 0.028 | 0.036 | 0.044 | 0.010  | 711.000   | 1954.000    | 3475272.000    | 1286.185  |
| 254   | 0   | 0     | 254   | 0   | 0   | POST   | /register          | 0.016 | 0.152 | 16.260  | 0.064 | 0.104 | 0.116 | 0.144 | 0.030  | 0.000     | 0.000       | 0.000          | 0.000     |
| 406   | 0   | 0     | 203   | 203 | 0   | POST   | /                  | 0.028 | 0.080 | 7.924   | 0.020 | 0.048 | 0.064 | 0.076 | 0.018  | 0.000     | 0.000       | 0.000          | 0.000     |
| 220   | 0   | 0     | 220   | 0   | 0   | POST   | /comment           | 0.004 | 0.036 | 3.136   | 0.014 | 0.024 | 0.028 | 0.032 | 0.006  | 0.000     | 0.000       | 0.000          | 0.000     |
| 798   | 0   | 798   | 0     | 0   | 0   | GET    | /login             | 0.004 | 0.032 | 2.704   | 0.003 | 0.008 | 0.012 | 0.016 | 0.004  | 615.000   | 615.000     | 490770.000     | 615.000   |
| 399   | 0   | 0     | 399   | 0   | 0   | GET    | /logout            | 0.000 | 0.024 | 1.528   | 0.004 | 0.008 | 0.012 | 0.020 | 0.004  | 24.000    | 24.000      | 9576.000       | 24.000    |
| 254   | 0   | 0     | 0     | 254 | 0   | GET    | /admin/banned      | 0.000 | 0.024 | 1.440   | 0.006 | 0.012 | 0.020 | 0.024 | 0.005  | 0.000     | 0.000       | 0.000          | 0.000     |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /initialize        | 0.048 | 0.048 | 0.048   | 0.048 | 0.048 | 0.048 | 0.048 | 0.000  | 0.000     | 0.000       | 0.000          | 0.000     |
| 4888  | 0   | 1     | 4887  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000         | 0.009     |
| 4888  | 0   | 1     | 4887  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000       | 0.392     |
| 4888  | 0   | 1     | 4887  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000       | 0.373     |
| 4888  | 0   | 1     | 4887  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000       | 0.317     |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+-----------+
