+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+-----------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY) |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+-----------+
| 3495  | 0   | 3495  | 0     | 0   | 0   | GET    | /                  | 0.004 | 0.180 | 176.433 | 0.050 | 0.080 | 0.092 | 0.120 | 0.022  | 2601.000  | 6046.000    | 10082730.000   | 2884.901  |
| 60980 | 0   | 14670 | 46310 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.056 | 102.219 | 0.002 | 0.008 | 0.012 | 0.020 | 0.004  | 49308.000 | 1253028.000 | 2083937078.000 | 34174.108 |
| 2057  | 0   | 0     | 2057  | 0   | 0   | POST   | /login             | 0.040 | 0.164 | 99.606  | 0.048 | 0.092 | 0.108 | 0.128 | 0.033  | 0.000     | 0.000       | 0.000          | 0.000     |
| 434   | 0   | 434   | 0     | 0   | 0   | GET    | /@\w+              | 0.044 | 0.244 | 56.450  | 0.130 | 0.172 | 0.192 | 0.224 | 0.034  | 1485.000  | 5227.000    | 1413178.000    | 3256.171  |
| 440   | 0   | 440   | 0     | 0   | 0   | GET    | /posts             | 0.012 | 0.220 | 47.863  | 0.109 | 0.148 | 0.164 | 0.196 | 0.032  | 4965.000  | 5785.000    | 2352743.000    | 5347.143  |
| 2619  | 0   | 2619  | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.004 | 0.072 | 44.543  | 0.017 | 0.032 | 0.036 | 0.048 | 0.010  | 697.000   | 1981.000    | 3350155.000    | 1279.173  |
| 244   | 0   | 0     | 244   | 0   | 0   | POST   | /register          | 0.016 | 0.172 | 16.184  | 0.066 | 0.108 | 0.124 | 0.144 | 0.031  | 0.000     | 0.000       | 0.000          | 0.000     |
| 412   | 0   | 0     | 206   | 206 | 0   | POST   | /                  | 0.004 | 0.080 | 7.620   | 0.018 | 0.040 | 0.056 | 0.072 | 0.016  | 0.000     | 0.000       | 0.000          | 0.000     |
| 216   | 0   | 0     | 216   | 0   | 0   | POST   | /comment           | 0.004 | 0.036 | 2.980   | 0.014 | 0.024 | 0.028 | 0.032 | 0.006  | 0.000     | 0.000       | 0.000          | 0.000     |
| 790   | 0   | 790   | 0     | 0   | 0   | GET    | /login             | 0.004 | 0.028 | 2.780   | 0.004 | 0.008 | 0.012 | 0.016 | 0.004  | 615.000   | 615.000     | 485850.000     | 615.000   |
| 395   | 0   | 0     | 395   | 0   | 0   | GET    | /logout            | 0.004 | 0.024 | 1.444   | 0.004 | 0.008 | 0.012 | 0.020 | 0.004  | 24.000    | 24.000      | 9480.000       | 24.000    |
| 244   | 0   | 0     | 0     | 244 | 0   | GET    | /admin/banned      | 0.004 | 0.032 | 1.388   | 0.006 | 0.012 | 0.016 | 0.028 | 0.006  | 0.000     | 0.000       | 0.000          | 0.000     |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /initialize        | 0.060 | 0.060 | 0.060   | 0.060 | 0.060 | 0.060 | 0.060 | 0.000  | 0.000     | 0.000       | 0.000          | 0.000     |
| 4794  | 0   | 1     | 4793  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000         | 0.009     |
| 4794  | 0   | 1     | 4793  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000       | 0.399     |
| 4794  | 0   | 1     | 4793  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000       | 0.380     |
| 4794  | 0   | 1     | 4793  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000       | 0.323     |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+-----------+
