+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+-----------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY) |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+-----------+
| 3453  | 0   | 3453  | 0     | 0   | 0   | GET    | /                  | 0.004 | 0.172 | 174.592 | 0.051 | 0.080 | 0.092 | 0.120 | 0.023  | 2535.000  | 6045.000    | 9693066.000    | 2807.143  |
| 2013  | 0   | 0     | 2013  | 0   | 0   | POST   | /login             | 0.004 | 0.184 | 102.667 | 0.051 | 0.100 | 0.112 | 0.140 | 0.036  | 0.000     | 0.000       | 0.000          | 0.000     |
| 60703 | 0   | 14647 | 46056 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.052 | 99.900  | 0.002 | 0.008 | 0.012 | 0.020 | 0.004  | 48022.000 | 1252614.000 | 2088002747.000 | 34397.027 |
| 432   | 0   | 432   | 0     | 0   | 0   | GET    | /@\w+              | 0.052 | 0.268 | 55.044  | 0.127 | 0.168 | 0.184 | 0.228 | 0.034  | 1348.000  | 5286.000    | 1407917.000    | 3259.067  |
| 440   | 0   | 440   | 0     | 0   | 0   | GET    | /posts             | 0.012 | 0.200 | 47.883  | 0.109 | 0.152 | 0.172 | 0.184 | 0.033  | 4965.000  | 5828.000    | 2354072.000    | 5350.164  |
| 2613  | 0   | 2613  | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.000 | 0.072 | 46.087  | 0.018 | 0.032 | 0.036 | 0.048 | 0.010  | 705.000   | 2015.000    | 3349926.000    | 1282.023  |
| 239   | 0   | 0     | 239   | 0   | 0   | POST   | /register          | 0.016 | 0.164 | 16.556  | 0.069 | 0.116 | 0.128 | 0.160 | 0.032  | 0.000     | 0.000       | 0.000          | 0.000     |
| 398   | 0   | 0     | 199   | 199 | 0   | POST   | /                  | 0.004 | 0.076 | 7.740   | 0.019 | 0.044 | 0.056 | 0.076 | 0.016  | 0.000     | 0.000       | 0.000          | 0.000     |
| 212   | 0   | 0     | 212   | 0   | 0   | POST   | /comment           | 0.004 | 0.044 | 2.900   | 0.014 | 0.020 | 0.024 | 0.036 | 0.006  | 0.000     | 0.000       | 0.000          | 0.000     |
| 776   | 0   | 776   | 0     | 0   | 0   | GET    | /login             | 0.000 | 0.024 | 2.620   | 0.003 | 0.008 | 0.012 | 0.016 | 0.004  | 615.000   | 615.000     | 477240.000     | 615.000   |
| 239   | 0   | 0     | 0     | 239 | 0   | GET    | /admin/banned      | 0.000 | 0.028 | 1.416   | 0.006 | 0.016 | 0.020 | 0.024 | 0.006  | 0.000     | 0.000       | 0.000          | 0.000     |
| 388   | 0   | 0     | 388   | 0   | 0   | GET    | /logout            | 0.000 | 0.028 | 1.380   | 0.004 | 0.008 | 0.012 | 0.020 | 0.004  | 24.000    | 24.000      | 9312.000       | 24.000    |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /initialize        | 0.056 | 0.056 | 0.056   | 0.056 | 0.056 | 0.056 | 0.056 | 0.000  | 0.000     | 0.000       | 0.000          | 0.000     |
| 4787  | 0   | 1     | 4786  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000         | 0.009     |
| 4787  | 0   | 1     | 4786  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000       | 0.400     |
| 4787  | 0   | 1     | 4786  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000       | 0.381     |
| 4787  | 0   | 1     | 4786  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000       | 0.324     |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+-----------+
