+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+-----------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY) |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+-----------+
| 89500 | 0   | 17680 | 71820 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.060 | 143.316 | 0.002 | 0.004 | 0.012 | 0.024 | 0.005  | 39491.000 | 1198811.000 | 2483039490.000 | 27743.458 |
| 2652  | 0   | 0     | 2652  | 0   | 0   | POST   | /login             | 0.004 | 0.160 | 121.291 | 0.046 | 0.088 | 0.100 | 0.128 | 0.030  | 0.000     | 0.000       | 0.000          | 0.000     |
| 5151  | 0   | 5151  | 0     | 0   | 0   | GET    | /                  | 0.004 | 0.088 | 98.686  | 0.019 | 0.036 | 0.040 | 0.056 | 0.012  | 2550.000  | 6046.000    | 14210942.000   | 2758.871  |
| 548   | 0   | 548   | 0     | 0   | 0   | GET    | /@\w+              | 0.032 | 0.228 | 49.836  | 0.091 | 0.136 | 0.152 | 0.184 | 0.032  | 1626.000  | 5370.000    | 1785278.000    | 3257.807  |
| 3068  | 0   | 3068  | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.000 | 0.064 | 38.956  | 0.013 | 0.024 | 0.032 | 0.044 | 0.009  | 693.000   | 1968.000    | 3928412.000    | 1280.447  |
| 349   | 0   | 0     | 349   | 0   | 0   | POST   | /register          | 0.020 | 0.152 | 21.116  | 0.061 | 0.096 | 0.108 | 0.132 | 0.025  | 0.000     | 0.000       | 0.000          | 0.000     |
| 570   | 0   | 570   | 0     | 0   | 0   | GET    | /posts             | 0.004 | 0.112 | 12.640  | 0.022 | 0.040 | 0.052 | 0.076 | 0.014  | 4965.000  | 5785.000    | 3046004.000    | 5343.867  |
| 512   | 0   | 0     | 256   | 256 | 0   | POST   | /                  | 0.004 | 0.100 | 11.771  | 0.023 | 0.052 | 0.064 | 0.084 | 0.019  | 0.000     | 0.000       | 0.000          | 0.000     |
| 994   | 0   | 994   | 0     | 0   | 0   | GET    | /login             | 0.000 | 0.032 | 5.568   | 0.006 | 0.012 | 0.016 | 0.024 | 0.005  | 615.000   | 615.000     | 611310.000     | 615.000   |
| 300   | 0   | 0     | 300   | 0   | 0   | POST   | /comment           | 0.004 | 0.052 | 4.924   | 0.016 | 0.028 | 0.032 | 0.040 | 0.008  | 0.000     | 0.000       | 0.000          | 0.000     |
| 497   | 0   | 0     | 497   | 0   | 0   | GET    | /logout            | 0.004 | 0.048 | 2.920   | 0.006 | 0.012 | 0.016 | 0.020 | 0.006  | 24.000    | 24.000      | 11928.000      | 24.000    |
| 349   | 0   | 0     | 0     | 349 | 0   | GET    | /admin/banned      | 0.004 | 0.036 | 2.620   | 0.008 | 0.016 | 0.020 | 0.028 | 0.006  | 0.000     | 0.000       | 0.000          | 0.000     |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /initialize        | 0.056 | 0.056 | 0.056   | 0.056 | 0.056 | 0.056 | 0.056 | 0.000  | 0.000     | 0.000       | 0.000          | 0.000     |
| 6401  | 0   | 1     | 6400  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000         | 0.007     |
| 6401  | 0   | 1     | 6400  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000       | 0.299     |
| 6401  | 0   | 1     | 6400  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000       | 0.285     |
| 6401  | 0   | 1     | 6400  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000       | 0.242     |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+-----------+
