+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+------------+
| 639   | 0   | 639   | 0    | 0   | 0   | GET    | /                  | 0.036 | 0.792 | 392.401 | 0.614 | 0.688 | 0.708 | 0.748 | 0.085  | 2663.000  | 6045.000    | 2216801.000    | 3469.172   |
| 140   | 0   | 140   | 0    | 0   | 0   | GET    | /posts             | 0.052 | 0.848 | 98.718  | 0.705 | 0.784 | 0.800 | 0.832 | 0.112  | 5011.000  | 5773.000    | 747718.000     | 5340.843   |
| 22833 | 0   | 17018 | 5815 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.068 | 55.018  | 0.002 | 0.008 | 0.008 | 0.016 | 0.004  | 49308.000 | 1266362.000 | 2325760367.000 | 101859.605 |
| 6468  | 0   | 6468  | 0    | 0   | 0   | GET    | /posts/[0-9]+      | 0.000 | 0.036 | 19.888  | 0.003 | 0.008 | 0.008 | 0.016 | 0.003  | 704.000   | 1968.000    | 8548586.000    | 1321.674   |
| 723   | 0   | 723   | 0    | 0   | 0   | GET    | /@\w+              | 0.004 | 0.112 | 13.088  | 0.018 | 0.036 | 0.044 | 0.072 | 0.014  | 1562.000  | 5312.000    | 2331769.000    | 3225.130   |
| 484   | 0   | 0     | 484  | 0   | 0   | POST   | /login             | 0.016 | 0.092 | 12.380  | 0.026 | 0.048 | 0.064 | 0.080 | 0.017  | 0.000     | 0.000       | 0.000          | 0.000      |
| 47    | 0   | 0     | 47   | 0   | 0   | POST   | /register          | 0.016 | 0.096 | 1.936   | 0.041 | 0.064 | 0.072 | 0.096 | 0.016  | 0.000     | 0.000       | 0.000          | 0.000      |
| 90    | 0   | 0     | 45   | 45  | 0   | POST   | /                  | 0.004 | 0.072 | 1.196   | 0.013 | 0.028 | 0.044 | 0.072 | 0.015  | 0.000     | 0.000       | 0.000          | 0.000      |
| 89    | 0   | 0     | 89   | 0   | 0   | POST   | /comment           | 0.004 | 0.024 | 1.020   | 0.011 | 0.020 | 0.020 | 0.024 | 0.004  | 0.000     | 0.000       | 0.000          | 0.000      |
| 172   | 0   | 172   | 0    | 0   | 0   | GET    | /login             | 0.004 | 0.008 | 0.236   | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 615.000   | 615.000     | 105780.000     | 615.000    |
| 47    | 0   | 0     | 0    | 47  | 0   | GET    | /admin/banned      | 0.000 | 0.012 | 0.128   | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000          | 0.000      |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /initialize        | 0.112 | 0.112 | 0.112   | 0.112 | 0.112 | 0.112 | 0.112 | 0.000  | 0.000     | 0.000       | 0.000          | 0.000      |
| 86    | 0   | 0     | 86   | 0   | 0   | GET    | /logout            | 0.000 | 0.008 | 0.068   | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 24.000    | 24.000      | 2064.000       | 24.000     |
| 7334  | 0   | 1     | 7333 | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000         | 0.006      |
| 7334  | 0   | 1     | 7333 | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000       | 0.261      |
| 7334  | 0   | 1     | 7333 | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000       | 0.249      |
| 7334  | 0   | 1     | 7333 | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000       | 0.211      |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+------------+
