+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+------------+
| 627   | 0   | 627   | 0    | 0   | 0   | GET    | /                  | 0.036 | 0.796 | 392.445 | 0.626 | 0.704 | 0.720 | 0.752 | 0.089  | 2774.000  | 6055.000    | 2248833.000    | 3586.656   |
| 140   | 0   | 140   | 0    | 0   | 0   | GET    | /posts             | 0.144 | 0.900 | 100.686 | 0.719 | 0.816 | 0.848 | 0.880 | 0.111  | 4965.000  | 5785.000    | 747966.000     | 5342.614   |
| 23798 | 0   | 18062 | 5736 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.040 | 46.476  | 0.002 | 0.004 | 0.008 | 0.016 | 0.003  | 49308.000 | 1266552.000 | 2425611071.000 | 101924.997 |
| 6966  | 0   | 6966  | 0    | 0   | 0   | GET    | /posts/[0-9]+      | 0.000 | 0.040 | 21.468  | 0.003 | 0.008 | 0.008 | 0.016 | 0.004  | 705.000   | 1968.000    | 9182353.000    | 1318.167   |
| 765   | 0   | 765   | 0    | 0   | 0   | GET    | /@\w+              | 0.004 | 0.148 | 13.940  | 0.018 | 0.036 | 0.048 | 0.084 | 0.016  | 1348.000  | 5389.000    | 2471035.000    | 3230.111   |
| 473   | 0   | 0     | 473  | 0   | 0   | POST   | /login             | 0.024 | 0.136 | 12.740  | 0.027 | 0.048 | 0.060 | 0.096 | 0.020  | 0.000     | 0.000       | 0.000          | 0.000      |
| 45    | 0   | 0     | 45   | 0   | 0   | POST   | /register          | 0.012 | 0.100 | 1.884   | 0.042 | 0.064 | 0.068 | 0.100 | 0.016  | 0.000     | 0.000       | 0.000          | 0.000      |
| 88    | 0   | 0     | 44   | 44  | 0   | POST   | /                  | 0.012 | 0.068 | 1.492   | 0.017 | 0.048 | 0.052 | 0.068 | 0.016  | 0.000     | 0.000       | 0.000          | 0.000      |
| 85    | 0   | 0     | 85   | 0   | 0   | POST   | /comment           | 0.004 | 0.036 | 1.016   | 0.012 | 0.020 | 0.020 | 0.036 | 0.005  | 0.000     | 0.000       | 0.000          | 0.000      |
| 170   | 0   | 170   | 0    | 0   | 0   | GET    | /login             | 0.000 | 0.012 | 0.236   | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 615.000   | 615.000     | 104550.000     | 615.000    |
| 85    | 0   | 0     | 85   | 0   | 0   | GET    | /logout            | 0.004 | 0.008 | 0.112   | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 24.000    | 24.000      | 2040.000       | 24.000     |
| 45    | 0   | 0     | 0    | 45  | 0   | GET    | /admin/banned      | 0.000 | 0.016 | 0.076   | 0.002 | 0.004 | 0.008 | 0.016 | 0.003  | 0.000     | 0.000       | 0.000          | 0.000      |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /initialize        | 0.036 | 0.036 | 0.036   | 0.036 | 0.036 | 0.036 | 0.036 | 0.000  | 0.000     | 0.000       | 0.000          | 0.000      |
| 7881  | 0   | 1     | 7880 | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000         | 0.005      |
| 7881  | 0   | 1     | 7880 | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000       | 0.243      |
| 7881  | 0   | 1     | 7880 | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000       | 0.231      |
| 7881  | 0   | 1     | 7880 | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000       | 0.197      |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+------------+
