+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+-----------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY) |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+-----------+
| 657   | 0   | 657   | 0    | 0   | 0   | GET    | /                  | 0.032 | 0.792 | 391.950 | 0.597 | 0.680 | 0.700 | 0.728 | 0.085  | 2690.000  | 6045.000    | 2272771.000    | 3459.317  |
| 160   | 0   | 160   | 0    | 0   | 0   | GET    | /posts             | 0.044 | 0.920 | 100.092 | 0.626 | 0.764 | 0.792 | 0.864 | 0.187  | 4965.000  | 5785.000    | 854604.000     | 5341.275  |
| 3366  | 0   | 3366  | 0    | 0   | 0   | GET    | /posts/[0-9]+      | 0.004 | 0.076 | 69.566  | 0.021 | 0.036 | 0.040 | 0.052 | 0.011  | 709.000   | 1901.000    | 4427855.000    | 1315.465  |
| 17396 | 0   | 11333 | 6063 | 0   | 0   | GET    | /image/[0-9]+      | 0.004 | 0.108 | 35.811  | 0.002 | 0.008 | 0.008 | 0.016 | 0.004  | 39491.000 | 1253006.000 | 1644063744.000 | 94508.148 |
| 407   | 0   | 407   | 0    | 0   | 0   | GET    | /@\w+              | 0.004 | 0.108 | 11.556  | 0.028 | 0.056 | 0.068 | 0.088 | 0.020  | 1348.000  | 5262.000    | 1323238.000    | 3251.199  |
| 492   | 0   | 0     | 492  | 0   | 0   | POST   | /login             | 0.016 | 0.096 | 11.284  | 0.023 | 0.040 | 0.048 | 0.080 | 0.015  | 0.000     | 0.000       | 0.000          | 0.000     |
| 48    | 0   | 0     | 48   | 0   | 0   | POST   | /register          | 0.016 | 0.096 | 1.820   | 0.038 | 0.064 | 0.072 | 0.096 | 0.016  | 0.000     | 0.000       | 0.000          | 0.000     |
| 92    | 0   | 0     | 46   | 46  | 0   | POST   | /                  | 0.024 | 0.072 | 1.528   | 0.017 | 0.048 | 0.056 | 0.072 | 0.018  | 0.000     | 0.000       | 0.000          | 0.000     |
| 85    | 0   | 0     | 85   | 0   | 0   | POST   | /comment           | 0.004 | 0.068 | 1.192   | 0.014 | 0.024 | 0.028 | 0.068 | 0.009  | 0.000     | 0.000       | 0.000          | 0.000     |
| 178   | 0   | 178   | 0    | 0   | 0   | GET    | /login             | 0.000 | 0.008 | 0.228   | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 615.000   | 615.000     | 109470.000     | 615.000   |
| 89    | 0   | 0     | 89   | 0   | 0   | GET    | /logout            | 0.000 | 0.016 | 0.124   | 0.001 | 0.004 | 0.008 | 0.016 | 0.003  | 24.000    | 24.000      | 2136.000       | 24.000    |
| 48    | 0   | 0     | 0    | 48  | 0   | GET    | /admin/banned      | 0.008 | 0.012 | 0.116   | 0.002 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000          | 0.000     |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /initialize        | 0.040 | 0.040 | 0.040   | 0.040 | 0.040 | 0.040 | 0.040 | 0.000  | 0.000     | 0.000       | 0.000          | 0.000     |
| 3941  | 0   | 1     | 3940 | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000         | 0.011     |
| 3941  | 0   | 1     | 3940 | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000       | 0.486     |
| 3941  | 0   | 1     | 3940 | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000       | 0.463     |
| 3941  | 0   | 1     | 3940 | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000       | 0.393     |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+-----------+
