+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+------------+
| 631   | 0   | 631   | 0    | 0   | 0   | GET    | /                  | 0.036 | 0.836 | 391.751 | 0.621 | 0.700 | 0.720 | 0.764 | 0.089  | 2654.000  | 6039.000    | 2219249.000    | 3517.035   |
| 140   | 0   | 140   | 0    | 0   | 0   | GET    | /posts             | 0.040 | 0.928 | 99.544  | 0.711 | 0.800 | 0.816 | 0.852 | 0.113  | 4965.000  | 5785.000    | 748377.000     | 5345.550   |
| 23859 | 0   | 18061 | 5798 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.040 | 46.476  | 0.002 | 0.004 | 0.008 | 0.016 | 0.003  | 49302.000 | 1252694.000 | 2416650436.000 | 101288.840 |
| 6977  | 0   | 6977  | 0    | 0   | 0   | GET    | /posts/[0-9]+      | 0.000 | 0.040 | 21.387  | 0.003 | 0.008 | 0.008 | 0.016 | 0.004  | 711.000   | 1908.000    | 9212318.000    | 1320.384   |
| 762   | 0   | 762   | 0    | 0   | 0   | GET    | /@\w+              | 0.004 | 0.132 | 14.860  | 0.020 | 0.040 | 0.052 | 0.084 | 0.016  | 1348.000  | 5475.000    | 2472948.000    | 3245.339   |
| 478   | 0   | 0     | 478  | 0   | 0   | POST   | /login             | 0.016 | 0.100 | 12.672  | 0.027 | 0.048 | 0.056 | 0.084 | 0.018  | 0.000     | 0.000       | 0.000          | 0.000      |
| 45    | 0   | 0     | 45   | 0   | 0   | POST   | /register          | 0.016 | 0.088 | 1.872   | 0.042 | 0.060 | 0.072 | 0.088 | 0.015  | 0.000     | 0.000       | 0.000          | 0.000      |
| 90    | 0   | 0     | 45   | 45  | 0   | POST   | /                  | 0.000 | 0.072 | 1.572   | 0.017 | 0.048 | 0.056 | 0.072 | 0.019  | 0.000     | 0.000       | 0.000          | 0.000      |
| 85    | 0   | 0     | 85   | 0   | 0   | POST   | /comment           | 0.004 | 0.048 | 1.092   | 0.013 | 0.020 | 0.020 | 0.048 | 0.006  | 0.000     | 0.000       | 0.000          | 0.000      |
| 172   | 0   | 172   | 0    | 0   | 0   | GET    | /login             | 0.000 | 0.012 | 0.228   | 0.001 | 0.004 | 0.004 | 0.012 | 0.002  | 615.000   | 615.000     | 105780.000     | 615.000    |
| 45    | 0   | 0     | 0    | 45  | 0   | GET    | /admin/banned      | 0.004 | 0.012 | 0.116   | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000          | 0.000      |
| 86    | 0   | 0     | 86   | 0   | 0   | GET    | /logout            | 0.000 | 0.008 | 0.088   | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 24.000    | 24.000      | 2064.000       | 24.000     |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /initialize        | 0.044 | 0.044 | 0.044   | 0.044 | 0.044 | 0.044 | 0.044 | 0.000  | 0.000     | 0.000       | 0.000          | 0.000      |
| 7890  | 0   | 1     | 7889 | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000         | 0.005      |
| 7890  | 0   | 1     | 7889 | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000       | 0.243      |
| 7890  | 0   | 1     | 7889 | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000       | 0.231      |
| 7890  | 0   | 1     | 7889 | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000       | 0.196      |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+------------+
