+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+------------+
| 645   | 0   | 645   | 0    | 0   | 0   | GET    | /                  | 0.032 | 0.792 | 391.008 | 0.606 | 0.680 | 0.696 | 0.728 | 0.090  | 2664.000  | 6047.000    | 2248418.000    | 3485.919   |
| 150   | 0   | 150   | 0    | 0   | 0   | GET    | /posts             | 0.036 | 0.864 | 99.260  | 0.662 | 0.772 | 0.804 | 0.844 | 0.171  | 5011.000  | 5773.000    | 801003.000     | 5340.020   |
| 23890 | 0   | 17966 | 5924 | 0   | 0   | GET    | /image/[0-9]+      | 0.004 | 0.208 | 46.043  | 0.002 | 0.004 | 0.008 | 0.016 | 0.004  | 39491.000 | 1266552.000 | 2456420102.000 | 102822.106 |
| 6835  | 0   | 6835  | 0    | 0   | 0   | GET    | /posts/[0-9]+      | 0.000 | 0.048 | 20.232  | 0.003 | 0.008 | 0.008 | 0.020 | 0.004  | 708.000   | 1981.000    | 9013266.000    | 1318.693   |
| 760   | 0   | 760   | 0    | 0   | 0   | GET    | /@\w+              | 0.004 | 0.136 | 13.928  | 0.018 | 0.036 | 0.052 | 0.084 | 0.018  | 1348.000  | 5260.000    | 2436782.000    | 3206.292   |
| 484   | 0   | 0     | 484  | 0   | 0   | POST   | /login             | 0.004 | 0.128 | 13.484  | 0.028 | 0.052 | 0.064 | 0.096 | 0.019  | 0.000     | 0.000       | 0.000          | 0.000      |
| 47    | 0   | 0     | 47   | 0   | 0   | POST   | /register          | 0.012 | 0.080 | 1.896   | 0.040 | 0.068 | 0.068 | 0.080 | 0.015  | 0.000     | 0.000       | 0.000          | 0.000      |
| 92    | 0   | 0     | 46   | 46  | 0   | POST   | /                  | 0.004 | 0.064 | 1.444   | 0.016 | 0.044 | 0.048 | 0.064 | 0.016  | 0.000     | 0.000       | 0.000          | 0.000      |
| 87    | 0   | 0     | 87   | 0   | 0   | POST   | /comment           | 0.004 | 0.068 | 1.100   | 0.013 | 0.020 | 0.024 | 0.068 | 0.008  | 0.000     | 0.000       | 0.000          | 0.000      |
| 172   | 0   | 172   | 0    | 0   | 0   | GET    | /login             | 0.000 | 0.008 | 0.236   | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 615.000   | 615.000     | 105780.000     | 615.000    |
| 47    | 0   | 0     | 0    | 47  | 0   | GET    | /admin/banned      | 0.004 | 0.020 | 0.132   | 0.003 | 0.008 | 0.008 | 0.020 | 0.004  | 0.000     | 0.000       | 0.000          | 0.000      |
| 86    | 0   | 0     | 86   | 0   | 0   | GET    | /logout            | 0.000 | 0.012 | 0.112   | 0.001 | 0.004 | 0.004 | 0.012 | 0.002  | 24.000    | 24.000      | 2064.000       | 24.000     |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /initialize        | 0.036 | 0.036 | 0.036   | 0.036 | 0.036 | 0.036 | 0.036 | 0.000  | 0.000     | 0.000       | 0.000          | 0.000      |
| 7747  | 0   | 1     | 7746 | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000         | 0.006      |
| 7747  | 0   | 1     | 7746 | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000       | 0.247      |
| 7747  | 0   | 1     | 7746 | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000       | 0.235      |
| 7747  | 0   | 1     | 7746 | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000       | 0.200      |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+------------+
