+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| 2415  | 0   | 0     | 2415  | 0   | 0   | POST   | /login             | 0.004 | 0.184 | 145.144 | 0.060 | 0.116 | 0.128 | 0.148 | 0.040  | 0.000     | 0.000       | 0.000         | 0.000     |
| 4939  | 0   | 4939  | 0     | 0   | 0   | GET    | /                  | 0.004 | 0.092 | 98.588  | 0.020 | 0.036 | 0.044 | 0.056 | 0.012  | 2135.000  | 5535.000    | 11824825.000  | 2394.174  |
| 85733 | 0   | 16372 | 69361 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.048 | 79.802  | 0.001 | 0.004 | 0.008 | 0.016 | 0.003  | 0.000     | 1155222.000 | 142253538.000 | 1659.262  |
| 380   | 0   | 380   | 0     | 0   | 0   | GET    | /posts             | 0.088 | 0.316 | 75.312  | 0.198 | 0.240 | 0.256 | 0.300 | 0.038  | 4965.000  | 5785.000    | 2030025.000   | 5342.171  |
| 4108  | 0   | 4108  | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.004 | 0.064 | 44.896  | 0.011 | 0.024 | 0.028 | 0.044 | 0.009  | 702.000   | 1968.000    | 5301735.000   | 1290.588  |
| 685   | 0   | 685   | 0     | 0   | 0   | GET    | /@\w+              | 0.004 | 0.184 | 36.404  | 0.053 | 0.096 | 0.112 | 0.136 | 0.032  | 1768.000  | 5312.000    | 2223683.000   | 3246.253  |
| 307   | 0   | 0     | 307   | 0   | 0   | POST   | /register          | 0.016 | 0.164 | 23.064  | 0.075 | 0.116 | 0.132 | 0.148 | 0.032  | 0.000     | 0.000       | 0.000         | 0.000     |
| 458   | 0   | 0     | 229   | 229 | 0   | POST   | /                  | 0.000 | 0.088 | 9.996   | 0.022 | 0.048 | 0.060 | 0.084 | 0.018  | 0.000     | 0.000       | 0.000         | 0.000     |
| 327   | 0   | 0     | 327   | 0   | 0   | POST   | /comment           | 0.004 | 0.048 | 4.760   | 0.015 | 0.024 | 0.032 | 0.044 | 0.008  | 0.000     | 0.000       | 0.000         | 0.000     |
| 882   | 0   | 882   | 0     | 0   | 0   | GET    | /login             | 0.000 | 0.032 | 3.716   | 0.004 | 0.008 | 0.012 | 0.024 | 0.005  | 615.000   | 615.000     | 542430.000    | 615.000   |
| 307   | 0   | 0     | 0     | 307 | 0   | GET    | /admin/banned      | 0.004 | 0.036 | 2.080   | 0.007 | 0.016 | 0.020 | 0.028 | 0.006  | 0.000     | 0.000       | 0.000         | 0.000     |
| 441   | 0   | 0     | 441   | 0   | 0   | GET    | /logout            | 0.000 | 0.032 | 1.952   | 0.004 | 0.012 | 0.016 | 0.020 | 0.005  | 24.000    | 24.000      | 10584.000     | 24.000    |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /initialize        | 0.948 | 0.948 | 0.948   | 0.948 | 0.948 | 0.948 | 0.948 | 0.000  | 0.000     | 0.000       | 0.000         | 0.000     |
| 7450  | 0   | 1     | 7449  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000        | 0.006     |
| 7450  | 0   | 1     | 7449  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000      | 0.257     |
| 7450  | 0   | 1     | 7449  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000      | 0.245     |
| 7450  | 0   | 1     | 7449  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000      | 0.208     |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
