+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| 2429  | 0   | 0     | 2429  | 0   | 0   | POST   | /login             | 0.012 | 0.180 | 144.396 | 0.059 | 0.112 | 0.124 | 0.144 | 0.040  | 0.000     | 0.000       | 0.000         | 0.000     |
| 4898  | 0   | 4898  | 0     | 0   | 0   | GET    | /                  | 0.004 | 0.088 | 98.572  | 0.020 | 0.036 | 0.044 | 0.060 | 0.012  | 2172.000  | 5538.000    | 11896863.000  | 2428.923  |
| 85498 | 0   | 16844 | 68654 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.056 | 78.508  | 0.001 | 0.004 | 0.008 | 0.016 | 0.003  | 0.000     | 1089626.000 | 129654779.000 | 1516.466  |
| 380   | 0   | 380   | 0     | 0   | 0   | GET    | /posts             | 0.100 | 0.396 | 76.458  | 0.201 | 0.248 | 0.260 | 0.304 | 0.041  | 4965.000  | 5819.000    | 2030225.000   | 5342.697  |
| 4232  | 0   | 4232  | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.000 | 0.068 | 44.856  | 0.011 | 0.024 | 0.028 | 0.040 | 0.009  | 693.000   | 1959.000    | 5469876.000   | 1292.504  |
| 697   | 0   | 697   | 0     | 0   | 0   | GET    | /@\w+              | 0.004 | 0.168 | 35.130  | 0.050 | 0.096 | 0.112 | 0.140 | 0.031  | 1600.000  | 5422.000    | 2279003.000   | 3269.732  |
| 300   | 0   | 0     | 300   | 0   | 0   | POST   | /register          | 0.012 | 0.176 | 23.295  | 0.078 | 0.124 | 0.132 | 0.160 | 0.035  | 0.000     | 0.000       | 0.000         | 0.000     |
| 452   | 0   | 0     | 226   | 226 | 0   | POST   | /                  | 0.004 | 0.096 | 10.764  | 0.024 | 0.056 | 0.068 | 0.084 | 0.020  | 0.000     | 0.000       | 0.000         | 0.000     |
| 330   | 0   | 0     | 330   | 0   | 0   | POST   | /comment           | 0.004 | 0.076 | 5.068   | 0.015 | 0.024 | 0.032 | 0.036 | 0.008  | 0.000     | 0.000       | 0.000         | 0.000     |
| 898   | 0   | 898   | 0     | 0   | 0   | GET    | /login             | 0.000 | 0.032 | 3.756   | 0.004 | 0.012 | 0.012 | 0.020 | 0.005  | 615.000   | 615.000     | 552270.000    | 615.000   |
| 300   | 0   | 0     | 0     | 300 | 0   | GET    | /admin/banned      | 0.000 | 0.036 | 1.996   | 0.007 | 0.016 | 0.020 | 0.028 | 0.007  | 0.000     | 0.000       | 0.000         | 0.000     |
| 449   | 0   | 0     | 449   | 0   | 0   | GET    | /logout            | 0.004 | 0.032 | 1.880   | 0.004 | 0.012 | 0.016 | 0.020 | 0.005  | 24.000    | 24.000      | 10776.000     | 24.000    |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /initialize        | 1.108 | 1.108 | 1.108   | 1.108 | 1.108 | 1.108 | 1.108 | 0.000  | 0.000     | 0.000       | 0.000         | 0.000     |
| 7559  | 0   | 1     | 7558  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000        | 0.006     |
| 7559  | 0   | 1     | 7558  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000      | 0.253     |
| 7559  | 0   | 1     | 7558  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000      | 0.241     |
| 7559  | 0   | 1     | 7558  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000      | 0.205     |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
