+--------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| COUNT  | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+--------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| 106947 | 0   | 25339 | 81608 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.056 | 128.511 | 0.001 | 0.004 | 0.008 | 0.020 | 0.004  | 0.000     | 1155222.000 | 198469400.000 | 1855.773  |
| 3417   | 0   | 0     | 3417  | 0   | 0   | POST   | /login             | 0.024 | 0.144 | 111.660 | 0.033 | 0.064 | 0.080 | 0.104 | 0.022  | 0.000     | 0.000       | 0.000         | 0.000     |
| 6196   | 0   | 6196  | 0     | 0   | 0   | GET    | /                  | 0.004 | 0.104 | 103.188 | 0.017 | 0.032 | 0.036 | 0.048 | 0.010  | 2121.000  | 5535.000    | 14734628.000  | 2378.087  |
| 4428   | 0   | 4428  | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.004 | 0.076 | 49.288  | 0.011 | 0.024 | 0.028 | 0.040 | 0.009  | 679.000   | 1979.000    | 5654141.000   | 1276.906  |
| 827    | 0   | 827   | 0     | 0   | 0   | GET    | /@\w+              | 0.004 | 0.188 | 30.828  | 0.037 | 0.072 | 0.084 | 0.116 | 0.026  | 1480.000  | 5534.000    | 2702691.000   | 3268.067  |
| 471    | 0   | 0     | 471   | 0   | 0   | POST   | /register          | 0.012 | 0.108 | 20.016  | 0.042 | 0.068 | 0.080 | 0.092 | 0.017  | 0.000     | 0.000       | 0.000         | 0.000     |
| 830    | 0   | 830   | 0     | 0   | 0   | GET    | /posts             | 0.004 | 0.084 | 16.396  | 0.020 | 0.036 | 0.040 | 0.060 | 0.012  | 4462.000  | 5251.000    | 3999312.000   | 4818.448  |
| 642    | 0   | 0     | 321   | 321 | 0   | POST   | /                  | 0.004 | 0.088 | 12.856  | 0.020 | 0.044 | 0.056 | 0.076 | 0.017  | 0.000     | 0.000       | 0.000         | 0.000     |
| 474    | 0   | 0     | 474   | 0   | 0   | POST   | /comment           | 0.004 | 0.072 | 7.072   | 0.015 | 0.024 | 0.028 | 0.040 | 0.008  | 0.000     | 0.000       | 0.000         | 0.000     |
| 1220   | 0   | 1220  | 0     | 0   | 0   | GET    | /login             | 0.000 | 0.032 | 6.784   | 0.006 | 0.012 | 0.016 | 0.024 | 0.005  | 615.000   | 615.000     | 750300.000    | 615.000   |
| 610    | 0   | 0     | 610   | 0   | 0   | GET    | /logout            | 0.000 | 0.024 | 3.408   | 0.006 | 0.012 | 0.016 | 0.020 | 0.005  | 24.000    | 24.000      | 14640.000     | 24.000    |
| 471    | 0   | 0     | 0     | 471 | 0   | GET    | /admin/banned      | 0.000 | 0.028 | 3.040   | 0.006 | 0.016 | 0.020 | 0.024 | 0.006  | 0.000     | 0.000       | 0.000         | 0.000     |
| 1      | 0   | 1     | 0     | 0   | 0   | GET    | /initialize        | 1.052 | 1.052 | 1.052   | 1.052 | 1.052 | 1.052 | 1.052 | 0.000  | 0.000     | 0.000       | 0.000         | 0.000     |
| 8124   | 0   | 1     | 8123  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000        | 0.005     |
| 8124   | 0   | 1     | 8123  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000      | 0.236     |
| 8124   | 0   | 1     | 8123  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000      | 0.225     |
| 8124   | 0   | 1     | 8123  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000      | 0.191     |
+--------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
