+--------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| COUNT  | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+--------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| 105613 | 0   | 24836 | 80777 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.056 | 129.717 | 0.001 | 0.004 | 0.008 | 0.020 | 0.004  | 0.000     | 1155222.000 | 192701484.000 | 1824.600  |
| 3445   | 0   | 0     | 3445  | 0   | 0   | POST   | /login             | 0.012 | 0.152 | 109.427 | 0.032 | 0.060 | 0.076 | 0.100 | 0.022  | 0.000     | 0.000       | 0.000         | 0.000     |
| 6171   | 0   | 6171  | 0     | 0   | 0   | GET    | /                  | 0.004 | 0.084 | 106.518 | 0.017 | 0.032 | 0.036 | 0.048 | 0.010  | 2126.000  | 5534.000    | 14808614.000  | 2399.711  |
| 4315   | 0   | 4315  | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.004 | 0.076 | 50.404  | 0.012 | 0.024 | 0.028 | 0.040 | 0.009  | 697.000   | 1977.000    | 5464279.000   | 1266.345  |
| 819    | 0   | 819   | 0     | 0   | 0   | GET    | /@\w+              | 0.004 | 0.156 | 30.968  | 0.038 | 0.072 | 0.088 | 0.116 | 0.025  | 1595.000  | 5465.000    | 2666089.000   | 3255.298  |
| 471    | 0   | 0     | 471   | 0   | 0   | POST   | /register          | 0.012 | 0.120 | 20.048  | 0.043 | 0.068 | 0.084 | 0.108 | 0.019  | 0.000     | 0.000       | 0.000         | 0.000     |
| 810    | 0   | 810   | 0     | 0   | 0   | GET    | /posts             | 0.004 | 0.164 | 16.414  | 0.020 | 0.036 | 0.044 | 0.064 | 0.014  | 4462.000  | 5251.000    | 3900549.000   | 4815.493  |
| 650    | 0   | 0     | 325   | 325 | 0   | POST   | /                  | 0.000 | 0.088 | 12.580  | 0.019 | 0.044 | 0.056 | 0.076 | 0.017  | 0.000     | 0.000       | 0.000         | 0.000     |
| 476    | 0   | 0     | 476   | 0   | 0   | POST   | /comment           | 0.004 | 0.060 | 6.996   | 0.015 | 0.024 | 0.028 | 0.036 | 0.008  | 0.000     | 0.000       | 0.000         | 0.000     |
| 1232   | 0   | 1232  | 0     | 0   | 0   | GET    | /login             | 0.000 | 0.036 | 6.928   | 0.006 | 0.012 | 0.016 | 0.024 | 0.005  | 615.000   | 615.000     | 757680.000    | 615.000   |
| 616    | 0   | 0     | 616   | 0   | 0   | GET    | /logout            | 0.000 | 0.032 | 3.796   | 0.006 | 0.012 | 0.016 | 0.024 | 0.006  | 24.000    | 24.000      | 14784.000     | 24.000    |
| 471    | 0   | 0     | 0     | 471 | 0   | GET    | /admin/banned      | 0.004 | 0.040 | 3.236   | 0.007 | 0.016 | 0.020 | 0.032 | 0.007  | 0.000     | 0.000       | 0.000         | 0.000     |
| 1      | 0   | 1     | 0     | 0   | 0   | GET    | /initialize        | 1.184 | 1.184 | 1.184   | 1.184 | 1.184 | 1.184 | 1.184 | 0.000  | 0.000     | 0.000       | 0.000         | 0.000     |
| 7960   | 0   | 1     | 7959  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000        | 0.005     |
| 7960   | 0   | 1     | 7959  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000      | 0.241     |
| 7960   | 0   | 1     | 7959  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000      | 0.229     |
| 7960   | 0   | 1     | 7959  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000      | 0.195     |
+--------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
