+--------+-----+-------+--------+------+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| COUNT  | 1XX |  2XX  |  3XX   | 4XX  | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+--------+-----+-------+--------+------+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| 10207  | 0   | 10207 | 0      | 0    | 0   | GET    | /                  | 0.004 | 0.044 | 116.614 | 0.011 | 0.020 | 0.020 | 0.028 | 0.005  | 2104.000  | 5535.000    | 24083121.000  | 2359.471  |
| 148517 | 0   | 36761 | 111756 | 0    | 0   | GET    | /image/[0-9]+      | 0.000 | 0.028 | 102.728 | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 1155222.000 | 379676152.000 | 2556.449  |
| 6704   | 0   | 6704  | 0      | 0    | 0   | GET    | /posts/[0-9]+      | 0.000 | 0.028 | 47.270  | 0.007 | 0.012 | 0.016 | 0.020 | 0.004  | 679.000   | 1993.000    | 8317288.000   | 1240.646  |
| 1389   | 0   | 1389  | 0      | 0    | 0   | GET    | /@\w+              | 0.004 | 0.120 | 39.564  | 0.028 | 0.056 | 0.064 | 0.084 | 0.019  | 1343.000  | 5323.000    | 4520385.000   | 3254.417  |
| 6791   | 0   | 0     | 6791   | 0    | 0   | POST   | /login             | 0.004 | 0.028 | 25.000  | 0.004 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 1250   | 0   | 1250  | 0      | 0    | 0   | GET    | /posts             | 0.004 | 0.088 | 19.076  | 0.015 | 0.024 | 0.028 | 0.064 | 0.009  | 4462.000  | 5251.000    | 6021154.000   | 4816.923  |
| 1290   | 0   | 0     | 645    | 645  | 0   | POST   | /                  | 0.004 | 0.080 | 18.663  | 0.014 | 0.028 | 0.052 | 0.064 | 0.014  | 0.000     | 0.000       | 0.000         | 0.000     |
| 1204   | 0   | 0     | 1204   | 0    | 0   | POST   | /register          | 0.004 | 0.068 | 11.800  | 0.010 | 0.012 | 0.016 | 0.024 | 0.005  | 0.000     | 0.000       | 0.000         | 0.000     |
| 883    | 0   | 0     | 883    | 0    | 0   | POST   | /comment           | 0.004 | 0.068 | 8.792   | 0.010 | 0.016 | 0.016 | 0.024 | 0.005  | 0.000     | 0.000       | 0.000         | 0.000     |
| 2276   | 0   | 2276  | 0      | 0    | 0   | GET    | /login             | 0.000 | 0.024 | 7.220   | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 615.000   | 615.000     | 1399740.000   | 615.000   |
| 1204   | 0   | 0     | 0      | 1204 | 0   | GET    | /admin/banned      | 0.000 | 0.024 | 4.520   | 0.004 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 1138   | 0   | 0     | 1138   | 0    | 0   | GET    | /logout            | 0.000 | 0.016 | 3.324   | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 24.000    | 24.000      | 27312.000     | 24.000    |
| 1      | 0   | 1     | 0      | 0    | 0   | GET    | /initialize        | 1.232 | 1.232 | 1.232   | 1.232 | 1.232 | 1.232 | 1.232 | 0.000  | 0.000     | 0.000       | 0.000         | 0.000     |
| 11308  | 0   | 1     | 11307  | 0    | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000        | 0.004     |
| 11308  | 0   | 1     | 11307  | 0    | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000      | 0.169     |
| 11308  | 0   | 1     | 11307  | 0    | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000      | 0.161     |
| 11308  | 0   | 1     | 11307  | 0    | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000      | 0.137     |
+--------+-----+-------+--------+------+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
