+--------+-----+-------+--------+------+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| COUNT  | 1XX |  2XX  |  3XX   | 4XX  | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+--------+-----+-------+--------+------+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| 10196  | 0   | 10196 | 0      | 0    | 0   | GET    | /                  | 0.004 | 0.056 | 119.350 | 0.012 | 0.020 | 0.020 | 0.028 | 0.005  | 2149.000  | 5532.000    | 24261249.000  | 2379.487  |
| 148082 | 0   | 36383 | 111699 | 0    | 0   | GET    | /image/[0-9]+      | 0.000 | 0.056 | 102.488 | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 1155222.000 | 381112706.000 | 2573.660  |
| 6649   | 0   | 6649  | 0      | 0    | 0   | GET    | /posts/[0-9]+      | 0.000 | 0.056 | 47.838  | 0.007 | 0.012 | 0.016 | 0.020 | 0.004  | 689.000   | 2002.000    | 8253870.000   | 1241.370  |
| 1377   | 0   | 1377  | 0      | 0    | 0   | GET    | /@\w+              | 0.004 | 0.100 | 39.371  | 0.029 | 0.056 | 0.064 | 0.080 | 0.019  | 1395.000  | 5533.000    | 4478759.000   | 3252.548  |
| 6780   | 0   | 0     | 6780   | 0    | 0   | POST   | /login             | 0.000 | 0.044 | 25.164  | 0.004 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 1240   | 0   | 1240  | 0      | 0    | 0   | GET    | /posts             | 0.004 | 0.080 | 18.708  | 0.015 | 0.024 | 0.024 | 0.044 | 0.008  | 4462.000  | 5251.000    | 5973052.000   | 4816.977  |
| 1300   | 0   | 0     | 650    | 650  | 0   | POST   | /                  | 0.000 | 0.116 | 18.428  | 0.014 | 0.028 | 0.048 | 0.064 | 0.014  | 0.000     | 0.000       | 0.000         | 0.000     |
| 1202   | 0   | 0     | 1202   | 0    | 0   | POST   | /register          | 0.004 | 0.052 | 11.823  | 0.010 | 0.016 | 0.016 | 0.028 | 0.005  | 0.000     | 0.000       | 0.000         | 0.000     |
| 873    | 0   | 0     | 873    | 0    | 0   | POST   | /comment           | 0.004 | 0.068 | 8.828   | 0.010 | 0.016 | 0.016 | 0.028 | 0.006  | 0.000     | 0.000       | 0.000         | 0.000     |
| 2270   | 0   | 2270  | 0      | 0    | 0   | GET    | /login             | 0.000 | 0.016 | 7.151   | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 615.000   | 615.000     | 1396050.000   | 615.000   |
| 1202   | 0   | 0     | 0      | 1202 | 0   | GET    | /admin/banned      | 0.000 | 0.052 | 4.744   | 0.004 | 0.008 | 0.008 | 0.012 | 0.004  | 0.000     | 0.000       | 0.000         | 0.000     |
| 1135   | 0   | 0     | 1135   | 0    | 0   | GET    | /logout            | 0.008 | 0.020 | 3.584   | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 24.000    | 24.000      | 27240.000     | 24.000    |
| 1      | 0   | 1     | 0      | 0    | 0   | GET    | /initialize        | 2.156 | 2.156 | 2.156   | 2.156 | 2.156 | 2.156 | 2.156 | 0.000  | 0.000     | 0.000       | 0.000         | 0.000     |
| 11249  | 0   | 1     | 11248  | 0    | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000        | 0.004     |
| 11249  | 0   | 1     | 11248  | 0    | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000      | 0.170     |
| 11249  | 0   | 1     | 11248  | 0    | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000      | 0.162     |
| 11249  | 0   | 1     | 11248  | 0    | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000      | 0.138     |
+--------+-----+-------+--------+------+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
