+--------+-----+-------+--------+------+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| COUNT  | 1XX |  2XX  |  3XX   | 4XX  | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+--------+-----+-------+--------+------+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| 10262  | 0   | 10262 | 0      | 0    | 0   | GET    | /                  | 0.004 | 0.096 | 125.935 | 0.012 | 0.020 | 0.024 | 0.036 | 0.007  | 2109.000  | 5534.000    | 24125169.000  | 2350.923  |
| 143575 | 0   | 34846 | 108729 | 0    | 0   | GET    | /image/[0-9]+      | 0.000 | 0.052 | 107.348 | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 1155222.000 | 379256006.000 | 2641.518  |
| 6541   | 0   | 6541  | 0      | 0    | 0   | GET    | /posts/[0-9]+      | 0.004 | 0.076 | 50.168  | 0.008 | 0.012 | 0.016 | 0.028 | 0.006  | 689.000   | 2018.000    | 8079634.000   | 1235.229  |
| 1408   | 0   | 1408  | 0      | 0    | 0   | GET    | /@\w+              | 0.004 | 0.132 | 40.128  | 0.028 | 0.056 | 0.064 | 0.084 | 0.019  | 1343.000  | 5416.000    | 4595436.000   | 3263.804  |
| 6775   | 0   | 0     | 6775   | 0    | 0   | POST   | /login             | 0.000 | 0.056 | 29.696  | 0.004 | 0.008 | 0.012 | 0.020 | 0.004  | 0.000     | 0.000       | 0.000         | 0.000     |
| 1180   | 0   | 1180  | 0      | 0    | 0   | GET    | /posts             | 0.004 | 0.080 | 19.115  | 0.016 | 0.028 | 0.032 | 0.064 | 0.010  | 4462.000  | 5251.000    | 5682931.000   | 4816.043  |
| 1318   | 0   | 0     | 659    | 659  | 0   | POST   | /                  | 0.004 | 0.076 | 16.403  | 0.012 | 0.032 | 0.048 | 0.060 | 0.014  | 0.000     | 0.000       | 0.000         | 0.000     |
| 2172   | 0   | 2172  | 0      | 0    | 0   | GET    | /login             | 0.004 | 0.036 | 8.936   | 0.004 | 0.008 | 0.012 | 0.024 | 0.004  | 615.000   | 615.000     | 1335780.000   | 615.000   |
| 1275   | 0   | 0     | 1275   | 0    | 0   | POST   | /register          | 0.004 | 0.060 | 6.248   | 0.005 | 0.008 | 0.012 | 0.024 | 0.005  | 0.000     | 0.000       | 0.000         | 0.000     |
| 1275   | 0   | 0     | 0      | 1275 | 0   | GET    | /admin/banned      | 0.000 | 0.052 | 5.396   | 0.004 | 0.008 | 0.012 | 0.020 | 0.004  | 0.000     | 0.000       | 0.000         | 0.000     |
| 924    | 0   | 0     | 924    | 0    | 0   | POST   | /comment           | 0.004 | 0.032 | 4.704   | 0.005 | 0.008 | 0.012 | 0.020 | 0.004  | 0.000     | 0.000       | 0.000         | 0.000     |
| 1086   | 0   | 0     | 1086   | 0    | 0   | GET    | /logout            | 0.004 | 0.044 | 4.268   | 0.004 | 0.008 | 0.008 | 0.020 | 0.004  | 24.000    | 24.000      | 26064.000     | 24.000    |
| 1      | 0   | 1     | 0      | 0    | 0   | GET    | /initialize        | 1.644 | 1.644 | 1.644   | 1.644 | 1.644 | 1.644 | 1.644 | 0.000  | 0.000     | 0.000       | 0.000         | 0.000     |
| 10912  | 0   | 1     | 10911  | 0    | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000      | 0.175     |
| 10912  | 0   | 1     | 10911  | 0    | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000      | 0.167     |
| 10912  | 0   | 1     | 10911  | 0    | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000      | 0.142     |
| 10912  | 0   | 1     | 10911  | 0    | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000        | 0.004     |
+--------+-----+-------+--------+------+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
