+--------+-----+-------+--------+------+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| COUNT  | 1XX |  2XX  |  3XX   | 4XX  | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+--------+-----+-------+--------+------+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| 10896  | 0   | 10896 | 0      | 0    | 0   | GET    | /                  | 0.004 | 0.056 | 123.466 | 0.011 | 0.020 | 0.020 | 0.028 | 0.005  | 2090.000  | 5539.000    | 25455242.000  | 2336.201  |
| 152137 | 0   | 37699 | 114438 | 0    | 0   | GET    | /image/[0-9]+      | 0.000 | 0.024 | 102.392 | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 1155222.000 | 413844022.000 | 2720.206  |
| 7102   | 0   | 7102  | 0      | 0    | 0   | GET    | /posts/[0-9]+      | 0.000 | 0.028 | 48.686  | 0.007 | 0.012 | 0.016 | 0.020 | 0.004  | 687.000   | 1989.000    | 8782372.000   | 1236.605  |
| 1510   | 0   | 1510  | 0      | 0    | 0   | GET    | /@\w+              | 0.004 | 0.152 | 41.063  | 0.027 | 0.052 | 0.064 | 0.080 | 0.018  | 1343.000  | 5529.000    | 4951253.000   | 3278.975  |
| 7233   | 0   | 0     | 7233   | 0    | 0   | POST   | /login             | 0.000 | 0.024 | 26.703  | 0.004 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 1270   | 0   | 1270  | 0      | 0    | 0   | GET    | /posts             | 0.004 | 0.088 | 19.499  | 0.015 | 0.024 | 0.028 | 0.064 | 0.009  | 4462.000  | 5251.000    | 6115360.000   | 4815.244  |
| 1394   | 0   | 0     | 697    | 697  | 0   | POST   | /                  | 0.000 | 0.068 | 16.476  | 0.012 | 0.024 | 0.052 | 0.060 | 0.014  | 0.000     | 0.000       | 0.000         | 0.000     |
| 2314   | 0   | 2314  | 0      | 0    | 0   | GET    | /login             | 0.004 | 0.016 | 7.688   | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 615.000   | 615.000     | 1423110.000   | 615.000   |
| 1373   | 0   | 0     | 1373   | 0    | 0   | POST   | /register          | 0.004 | 0.020 | 5.972   | 0.004 | 0.008 | 0.012 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 1373   | 0   | 0     | 0      | 1373 | 0   | GET    | /admin/banned      | 0.000 | 0.020 | 5.123   | 0.004 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 995    | 0   | 0     | 995    | 0    | 0   | POST   | /comment           | 0.004 | 0.016 | 4.372   | 0.004 | 0.008 | 0.012 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 1157   | 0   | 0     | 1157   | 0    | 0   | GET    | /logout            | 0.004 | 0.016 | 3.744   | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 24.000    | 24.000      | 27768.000     | 24.000    |
| 1      | 0   | 1     | 0      | 0    | 0   | GET    | /initialize        | 1.756 | 1.756 | 1.756   | 1.756 | 1.756 | 1.756 | 1.756 | 0.000  | 0.000     | 0.000       | 0.000         | 0.000     |
| 11686  | 0   | 1     | 11685  | 0    | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000      | 0.164     |
| 11686  | 0   | 1     | 11685  | 0    | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000      | 0.156     |
| 11686  | 0   | 1     | 11685  | 0    | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000      | 0.133     |
| 11686  | 0   | 1     | 11685  | 0    | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000        | 0.004     |
+--------+-----+-------+--------+------+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
