+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| 2904  | 0   | 2904  | 0     | 0   | 0   | GET    | /                  | 0.012 | 0.188 | 325.610 | 0.112 | 0.132 | 0.140 | 0.152 | 0.017  | 2153.000  | 5534.000    | 7285881.000   | 2508.912  |
| 570   | 0   | 570   | 0     | 0   | 0   | GET    | /posts             | 0.016 | 0.200 | 67.051  | 0.118 | 0.144 | 0.152 | 0.160 | 0.021  | 4452.000  | 5311.000    | 2747726.000   | 4820.572  |
| 53615 | 0   | 20427 | 33188 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.068 | 60.484  | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 1155222.000 | 103598616.000 | 1932.269  |
| 4262  | 0   | 4262  | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.004 | 0.052 | 49.883  | 0.012 | 0.020 | 0.020 | 0.028 | 0.005  | 691.000   | 1977.000    | 5499034.000   | 1290.247  |
| 660   | 0   | 660   | 0     | 0   | 0   | GET    | /@\w+              | 0.008 | 0.148 | 44.895  | 0.068 | 0.096 | 0.104 | 0.124 | 0.021  | 1399.000  | 5470.000    | 2099427.000   | 3180.950  |
| 2129  | 0   | 0     | 2129  | 0   | 0   | POST   | /login             | 0.000 | 0.072 | 8.008   | 0.004 | 0.008 | 0.008 | 0.012 | 0.004  | 0.000     | 0.000       | 0.000         | 0.000     |
| 406   | 0   | 0     | 203   | 203 | 0   | POST   | /                  | 0.004 | 0.068 | 5.439   | 0.013 | 0.028 | 0.052 | 0.064 | 0.014  | 0.000     | 0.000       | 0.000         | 0.000     |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /initialize        | 1.848 | 1.848 | 1.848   | 1.848 | 1.848 | 1.848 | 1.848 | 0.000  | 0.000     | 0.000       | 0.000         | 0.000     |
| 283   | 0   | 0     | 283   | 0   | 0   | POST   | /comment           | 0.000 | 0.024 | 1.656   | 0.006 | 0.012 | 0.012 | 0.020 | 0.004  | 0.000     | 0.000       | 0.000         | 0.000     |
| 246   | 0   | 0     | 246   | 0   | 0   | POST   | /register          | 0.004 | 0.024 | 1.416   | 0.006 | 0.008 | 0.012 | 0.020 | 0.004  | 0.000     | 0.000       | 0.000         | 0.000     |
| 796   | 0   | 796   | 0     | 0   | 0   | GET    | /login             | 0.000 | 0.012 | 1.288   | 0.002 | 0.004 | 0.004 | 0.008 | 0.002  | 615.000   | 615.000     | 489540.000    | 615.000   |
| 246   | 0   | 0     | 0     | 246 | 0   | GET    | /admin/banned      | 0.000 | 0.020 | 0.980   | 0.004 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 398   | 0   | 0     | 398   | 0   | 0   | GET    | /logout            | 0.000 | 0.008 | 0.504   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 24.000    | 24.000      | 9552.000      | 24.000    |
| 5876  | 0   | 1     | 5875  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000      | 0.326     |
| 5876  | 0   | 1     | 5875  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000      | 0.310     |
| 5876  | 0   | 1     | 5875  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000      | 0.264     |
| 5876  | 0   | 1     | 5875  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000        | 0.007     |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
