+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+--------------+-----------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+--------------+-----------+
| 2926  | 0   | 2926  | 0     | 0   | 0   | GET    | /                  | 0.016 | 0.224 | 325.981 | 0.111 | 0.132 | 0.140 | 0.156 | 0.018  | 2199.000  | 5536.000    | 7406074.000  | 2531.126  |
| 580   | 0   | 580   | 0     | 0   | 0   | GET    | /posts             | 0.016 | 0.176 | 67.554  | 0.116 | 0.140 | 0.148 | 0.160 | 0.022  | 4435.000  | 5241.000    | 2792345.000  | 4814.388  |
| 54165 | 0   | 20676 | 33489 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.056 | 59.636  | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 1155222.000 | 95491796.000 | 1762.980  |
| 4288  | 0   | 4288  | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.004 | 0.052 | 50.108  | 0.012 | 0.020 | 0.020 | 0.024 | 0.005  | 698.000   | 2001.000    | 5527066.000  | 1288.961  |
| 659   | 0   | 659   | 0     | 0   | 0   | GET    | /@\w+              | 0.016 | 0.136 | 45.863  | 0.070 | 0.100 | 0.108 | 0.128 | 0.022  | 1563.000  | 5371.000    | 2133464.000  | 3237.426  |
| 2142  | 0   | 0     | 2142  | 0   | 0   | POST   | /login             | 0.004 | 0.024 | 7.620   | 0.004 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000        | 0.000     |
| 414   | 0   | 0     | 207   | 207 | 0   | POST   | /                  | 0.004 | 0.076 | 5.304   | 0.013 | 0.024 | 0.052 | 0.064 | 0.014  | 0.000     | 0.000       | 0.000        | 0.000     |
| 282   | 0   | 0     | 282   | 0   | 0   | POST   | /comment           | 0.004 | 0.016 | 1.696   | 0.006 | 0.012 | 0.012 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000        | 0.000     |
| 246   | 0   | 0     | 246   | 0   | 0   | POST   | /register          | 0.004 | 0.020 | 1.360   | 0.006 | 0.008 | 0.012 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000        | 0.000     |
| 800   | 0   | 800   | 0     | 0   | 0   | GET    | /login             | 0.000 | 0.008 | 1.328   | 0.002 | 0.004 | 0.004 | 0.008 | 0.002  | 615.000   | 615.000     | 492000.000   | 615.000   |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /initialize        | 1.212 | 1.212 | 1.212   | 1.212 | 1.212 | 1.212 | 1.212 | 0.000  | 0.000     | 0.000       | 0.000        | 0.000     |
| 246   | 0   | 0     | 0     | 246 | 0   | GET    | /admin/banned      | 0.004 | 0.020 | 0.992   | 0.004 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000        | 0.000     |
| 400   | 0   | 0     | 400   | 0   | 0   | GET    | /logout            | 0.000 | 0.008 | 0.612   | 0.002 | 0.004 | 0.004 | 0.004 | 0.002  | 24.000    | 24.000      | 9600.000     | 24.000    |
| 5914  | 0   | 1     | 5913  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000       | 0.007     |
| 5914  | 0   | 1     | 5913  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000     | 0.324     |
| 5914  | 0   | 1     | 5913  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000     | 0.308     |
| 5914  | 0   | 1     | 5913  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000     | 0.262     |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+--------------+-----------+
