+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| 4630  | 0   | 4630  | 0     | 0   | 0   | GET    | /                  | 0.008 | 0.148 | 290.084 | 0.063 | 0.080 | 0.084 | 0.092 | 0.013  | 2191.000  | 5534.000    | 11485339.000  | 2480.635  |
| 82505 | 0   | 30238 | 52267 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.108 | 61.088  | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 1155222.000 | 153241646.000 | 1857.362  |
| 880   | 0   | 880   | 0     | 0   | 0   | GET    | /posts             | 0.008 | 0.112 | 59.976  | 0.068 | 0.088 | 0.092 | 0.100 | 0.015  | 4462.000  | 5259.000    | 4252246.000   | 4832.098  |
| 1016  | 0   | 1016  | 0     | 0   | 0   | GET    | /@\w+              | 0.004 | 0.104 | 43.160  | 0.042 | 0.064 | 0.068 | 0.084 | 0.015  | 1563.000  | 5533.000    | 3350339.000   | 3297.578  |
| 6385  | 0   | 6385  | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.000 | 0.040 | 39.820  | 0.006 | 0.012 | 0.012 | 0.016 | 0.004  | 680.000   | 1894.000    | 8195739.000   | 1283.593  |
| 3370  | 0   | 0     | 3370  | 0   | 0   | POST   | /login             | 0.000 | 0.016 | 8.348   | 0.002 | 0.004 | 0.008 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 642   | 0   | 0     | 321   | 321 | 0   | POST   | /                  | 0.004 | 0.064 | 7.432   | 0.012 | 0.028 | 0.048 | 0.056 | 0.014  | 0.000     | 0.000       | 0.000         | 0.000     |
| 472   | 0   | 0     | 472   | 0   | 0   | POST   | /comment           | 0.000 | 0.016 | 2.036   | 0.004 | 0.008 | 0.012 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 423   | 0   | 0     | 423   | 0   | 0   | POST   | /register          | 0.004 | 0.016 | 1.608   | 0.004 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 1222  | 0   | 1222  | 0     | 0   | 0   | GET    | /login             | 0.000 | 0.008 | 1.516   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 615.000   | 615.000     | 751530.000    | 615.000   |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /initialize        | 1.164 | 1.164 | 1.164   | 1.164 | 1.164 | 1.164 | 1.164 | 0.000  | 0.000     | 0.000       | 0.000         | 0.000     |
| 423   | 0   | 0     | 0     | 423 | 0   | GET    | /admin/banned      | 0.000 | 0.016 | 1.096   | 0.003 | 0.004 | 0.008 | 0.008 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 611   | 0   | 0     | 611   | 0   | 0   | GET    | /logout            | 0.000 | 0.008 | 0.520   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 24.000    | 24.000      | 14664.000     | 24.000    |
| 8806  | 0   | 1     | 8805  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000        | 0.005     |
| 8806  | 0   | 1     | 8805  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000      | 0.217     |
| 8806  | 0   | 1     | 8805  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000      | 0.207     |
| 8806  | 0   | 1     | 8805  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000      | 0.176     |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
