+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| 4618  | 0   | 4618  | 0     | 0   | 0   | GET    | /                  | 0.008 | 0.120 | 290.726 | 0.063 | 0.080 | 0.084 | 0.096 | 0.013  | 2156.000  | 5542.000    | 11312874.000  | 2449.735  |
| 82563 | 0   | 30240 | 52323 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.068 | 60.628  | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 1155222.000 | 170475214.000 | 2064.789  |
| 880   | 0   | 880   | 0     | 0   | 0   | GET    | /posts             | 0.012 | 0.124 | 60.058  | 0.068 | 0.084 | 0.092 | 0.104 | 0.014  | 4462.000  | 5301.000    | 4241100.000   | 4819.432  |
| 1026  | 0   | 1026  | 0     | 0   | 0   | GET    | /@\w+              | 0.004 | 0.092 | 42.632  | 0.042 | 0.060 | 0.068 | 0.080 | 0.015  | 1343.000  | 5528.000    | 3323089.000   | 3238.878  |
| 6384  | 0   | 6384  | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.000 | 0.068 | 39.443  | 0.006 | 0.012 | 0.012 | 0.016 | 0.004  | 689.000   | 2006.000    | 8178561.000   | 1281.103  |
| 3361  | 0   | 0     | 3361  | 0   | 0   | POST   | /login             | 0.000 | 0.020 | 8.548   | 0.003 | 0.004 | 0.008 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 646   | 0   | 0     | 323   | 323 | 0   | POST   | /                  | 0.004 | 0.072 | 7.428   | 0.011 | 0.024 | 0.052 | 0.056 | 0.014  | 0.000     | 0.000       | 0.000         | 0.000     |
| 471   | 0   | 0     | 471   | 0   | 0   | POST   | /comment           | 0.004 | 0.024 | 1.996   | 0.004 | 0.008 | 0.012 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 414   | 0   | 0     | 414   | 0   | 0   | POST   | /register          | 0.004 | 0.012 | 1.696   | 0.004 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 1220  | 0   | 1220  | 0     | 0   | 0   | GET    | /login             | 0.004 | 0.008 | 1.364   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 615.000   | 615.000     | 750300.000    | 615.000   |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /initialize        | 1.308 | 1.308 | 1.308   | 1.308 | 1.308 | 1.308 | 1.308 | 0.000  | 0.000     | 0.000       | 0.000         | 0.000     |
| 414   | 0   | 0     | 0     | 414 | 0   | GET    | /admin/banned      | 0.000 | 0.016 | 1.176   | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 610   | 0   | 0     | 610   | 0   | 0   | GET    | /logout            | 0.000 | 0.008 | 0.532   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 24.000    | 24.000      | 14640.000     | 24.000    |
| 8818  | 0   | 1     | 8817  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000        | 0.005     |
| 8818  | 0   | 1     | 8817  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000      | 0.217     |
| 8818  | 0   | 1     | 8817  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000      | 0.207     |
| 8818  | 0   | 1     | 8817  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000      | 0.176     |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
