+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| 4485  | 0   | 4485  | 0     | 0   | 0   | GET    | /                  | 0.008 | 0.140 | 292.261 | 0.065 | 0.084 | 0.088 | 0.096 | 0.014  | 2173.000  | 5536.000    | 10995440.000  | 2451.603  |
| 850   | 0   | 850   | 0     | 0   | 0   | GET    | /posts             | 0.008 | 0.124 | 60.683  | 0.071 | 0.092 | 0.096 | 0.108 | 0.015  | 4462.000  | 5278.000    | 4109154.000   | 4834.299  |
| 80618 | 0   | 29509 | 51109 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.060 | 60.550  | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 1089626.000 | 157115833.000 | 1948.893  |
| 994   | 0   | 994   | 0     | 0   | 0   | GET    | /@\w+              | 0.004 | 0.100 | 43.011  | 0.043 | 0.064 | 0.072 | 0.088 | 0.016  | 1393.000  | 5352.000    | 3223115.000   | 3242.570  |
| 6251  | 0   | 6251  | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.000 | 0.036 | 40.501  | 0.006 | 0.012 | 0.012 | 0.020 | 0.004  | 697.000   | 1969.000    | 8030688.000   | 1284.705  |
| 3262  | 0   | 0     | 3262  | 0   | 0   | POST   | /login             | 0.000 | 0.016 | 8.462   | 0.003 | 0.004 | 0.008 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 620   | 0   | 0     | 310   | 310 | 0   | POST   | /                  | 0.004 | 0.060 | 7.508   | 0.012 | 0.044 | 0.052 | 0.056 | 0.015  | 0.000     | 0.000       | 0.000         | 0.000     |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /initialize        | 2.204 | 2.204 | 2.204   | 2.204 | 2.204 | 2.204 | 2.204 | 0.000  | 0.000     | 0.000       | 0.000         | 0.000     |
| 447   | 0   | 0     | 447   | 0   | 0   | POST   | /comment           | 0.004 | 0.068 | 1.948   | 0.004 | 0.008 | 0.012 | 0.016 | 0.005  | 0.000     | 0.000       | 0.000         | 0.000     |
| 401   | 0   | 0     | 401   | 0   | 0   | POST   | /register          | 0.004 | 0.016 | 1.540   | 0.004 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 1196  | 0   | 1196  | 0     | 0   | 0   | GET    | /login             | 0.000 | 0.008 | 1.296   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 615.000   | 615.000     | 735540.000    | 615.000   |
| 401   | 0   | 0     | 0     | 401 | 0   | GET    | /admin/banned      | 0.000 | 0.016 | 1.168   | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 598   | 0   | 0     | 598   | 0   | 0   | GET    | /logout            | 0.000 | 0.008 | 0.564   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 24.000    | 24.000      | 14352.000     | 24.000    |
| 8657  | 0   | 1     | 8656  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000      | 0.221     |
| 8657  | 0   | 1     | 8656  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000      | 0.211     |
| 8657  | 0   | 1     | 8656  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000      | 0.179     |
| 8657  | 0   | 1     | 8656  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000        | 0.005     |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
