+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| 4501  | 0   | 4501  | 0     | 0   | 0   | GET    | /                  | 0.008 | 0.160 | 292.036 | 0.065 | 0.080 | 0.088 | 0.096 | 0.014  | 2160.000  | 5532.000    | 11134245.000  | 2473.727  |
| 860   | 0   | 860   | 0     | 0   | 0   | GET    | /posts             | 0.008 | 0.116 | 60.604  | 0.070 | 0.088 | 0.096 | 0.104 | 0.015  | 4507.000  | 5231.000    | 4140591.000   | 4814.641  |
| 80531 | 0   | 29449 | 51082 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.108 | 60.571  | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 1089626.000 | 156802761.000 | 1947.111  |
| 980   | 0   | 980   | 0     | 0   | 0   | GET    | /@\w+              | 0.004 | 0.176 | 42.968  | 0.044 | 0.064 | 0.072 | 0.084 | 0.017  | 1595.000  | 5411.000    | 3195831.000   | 3261.052  |
| 6186  | 0   | 6186  | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.004 | 0.036 | 39.894  | 0.006 | 0.012 | 0.012 | 0.020 | 0.004  | 684.000   | 1969.000    | 7962195.000   | 1287.131  |
| 3286  | 0   | 0     | 3286  | 0   | 0   | POST   | /login             | 0.000 | 0.024 | 8.980   | 0.003 | 0.004 | 0.008 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 634   | 0   | 0     | 317   | 317 | 0   | POST   | /                  | 0.008 | 0.064 | 7.000   | 0.011 | 0.020 | 0.048 | 0.060 | 0.013  | 0.000     | 0.000       | 0.000         | 0.000     |
| 452   | 0   | 0     | 452   | 0   | 0   | POST   | /comment           | 0.004 | 0.020 | 2.007   | 0.004 | 0.008 | 0.012 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 403   | 0   | 0     | 403   | 0   | 0   | POST   | /register          | 0.004 | 0.016 | 1.708   | 0.004 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 1198  | 0   | 1198  | 0     | 0   | 0   | GET    | /login             | 0.000 | 0.012 | 1.432   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 615.000   | 615.000     | 736770.000    | 615.000   |
| 403   | 0   | 0     | 0     | 403 | 0   | GET    | /admin/banned      | 0.004 | 0.016 | 1.192   | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /initialize        | 0.880 | 0.880 | 0.880   | 0.880 | 0.880 | 0.880 | 0.880 | 0.000  | 0.000     | 0.000       | 0.000         | 0.000     |
| 599   | 0   | 0     | 599   | 0   | 0   | GET    | /logout            | 0.000 | 0.008 | 0.608   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 24.000    | 24.000      | 14376.000     | 24.000    |
| 8554  | 0   | 1     | 8553  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000        | 0.005     |
| 8554  | 0   | 1     | 8553  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000      | 0.224     |
| 8554  | 0   | 1     | 8553  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000      | 0.213     |
| 8554  | 0   | 1     | 8553  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000      | 0.181     |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
