+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| 5987  | 0   | 5987  | 0     | 0   | 0   | GET    | /                  | 0.004 | 0.108 | 247.304 | 0.041 | 0.056 | 0.060 | 0.068 | 0.010  | 2144.000  | 5536.000    | 14495855.000  | 2421.222  |
| 97524 | 0   | 30106 | 67418 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.092 | 80.072  | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 1155222.000 | 204137043.000 | 2093.198  |
| 5927  | 0   | 5927  | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.004 | 0.084 | 48.450  | 0.008 | 0.012 | 0.016 | 0.020 | 0.005  | 701.000   | 1949.000    | 7568314.000   | 1276.922  |
| 940   | 0   | 940   | 0     | 0   | 0   | GET    | /posts             | 0.004 | 0.080 | 44.642  | 0.047 | 0.060 | 0.064 | 0.072 | 0.011  | 4499.000  | 5304.000    | 4544824.000   | 4834.919  |
| 1086  | 0   | 1086  | 0     | 0   | 0   | GET    | /@\w+              | 0.004 | 0.072 | 36.479  | 0.034 | 0.048 | 0.052 | 0.064 | 0.011  | 1621.000  | 5411.000    | 3515889.000   | 3237.467  |
| 4267  | 0   | 0     | 4267  | 0   | 0   | POST   | /login             | 0.004 | 0.024 | 13.996  | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 804   | 0   | 0     | 402   | 402 | 0   | POST   | /                  | 0.000 | 0.076 | 10.292  | 0.013 | 0.028 | 0.052 | 0.056 | 0.014  | 0.000     | 0.000       | 0.000         | 0.000     |
| 594   | 0   | 0     | 594   | 0   | 0   | POST   | /comment           | 0.008 | 0.020 | 2.972   | 0.005 | 0.008 | 0.012 | 0.016 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 583   | 0   | 0     | 583   | 0   | 0   | POST   | /register          | 0.004 | 0.016 | 2.691   | 0.005 | 0.008 | 0.012 | 0.016 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 583   | 0   | 0     | 0     | 583 | 0   | GET    | /admin/banned      | 0.004 | 0.012 | 2.072   | 0.004 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 1524  | 0   | 1524  | 0     | 0   | 0   | GET    | /login             | 0.000 | 0.012 | 2.024   | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 615.000   | 615.000     | 937260.000    | 615.000   |
| 762   | 0   | 0     | 762   | 0   | 0   | GET    | /logout            | 0.000 | 0.008 | 0.992   | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 24.000    | 24.000      | 18288.000     | 24.000    |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /initialize        | 0.812 | 0.812 | 0.812   | 0.812 | 0.812 | 0.812 | 0.812 | 0.000  | 0.000     | 0.000       | 0.000         | 0.000     |
| 8846  | 0   | 1     | 8845  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000      | 0.216     |
| 8846  | 0   | 1     | 8845  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000      | 0.206     |
| 8846  | 0   | 1     | 8845  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000      | 0.175     |
| 8846  | 0   | 1     | 8845  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000        | 0.005     |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
