+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| 6057  | 0   | 6057  | 0     | 0   | 0   | GET    | /                  | 0.004 | 0.096 | 246.677 | 0.041 | 0.052 | 0.056 | 0.064 | 0.010  | 2087.000  | 2532.000    | 14184940.000  | 2341.909  |
| 99338 | 0   | 31209 | 68129 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.088 | 82.224  | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 1155222.000 | 191885695.000 | 1931.644  |
| 6141  | 0   | 6141  | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.004 | 0.036 | 47.456  | 0.008 | 0.012 | 0.016 | 0.020 | 0.004  | 677.000   | 868.000     | 4542246.000   | 739.659   |
| 970   | 0   | 970   | 0     | 0   | 0   | GET    | /posts             | 0.004 | 0.084 | 43.604  | 0.045 | 0.056 | 0.064 | 0.068 | 0.010  | 1787.000  | 2052.000    | 1835533.000   | 1892.302  |
| 1122  | 0   | 1122  | 0     | 0   | 0   | GET    | /@\w+              | 0.004 | 0.076 | 36.217  | 0.032 | 0.048 | 0.052 | 0.060 | 0.011  | 1014.000  | 2547.000    | 1882713.000   | 1677.997  |
| 4332  | 0   | 0     | 4332  | 0   | 0   | POST   | /login             | 0.000 | 0.068 | 14.088  | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 804   | 0   | 0     | 402   | 402 | 0   | POST   | /                  | 0.004 | 0.068 | 10.880  | 0.014 | 0.048 | 0.052 | 0.060 | 0.015  | 0.000     | 0.000       | 0.000         | 0.000     |
| 611   | 0   | 0     | 611   | 0   | 0   | POST   | /comment           | 0.008 | 0.020 | 2.972   | 0.005 | 0.008 | 0.012 | 0.016 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 589   | 0   | 0     | 589   | 0   | 0   | POST   | /register          | 0.004 | 0.020 | 2.724   | 0.005 | 0.008 | 0.012 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 589   | 0   | 0     | 0     | 589 | 0   | GET    | /admin/banned      | 0.004 | 0.016 | 2.080   | 0.004 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 1552  | 0   | 1552  | 0     | 0   | 0   | GET    | /login             | 0.000 | 0.012 | 1.960   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 615.000   | 615.000     | 954480.000    | 615.000   |
| 776   | 0   | 0     | 776   | 0   | 0   | GET    | /logout            | 0.000 | 0.008 | 0.920   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 24.000    | 24.000      | 18624.000     | 24.000    |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /initialize        | 0.584 | 0.584 | 0.584   | 0.584 | 0.584 | 0.584 | 0.584 | 0.000  | 0.000     | 0.000       | 0.000         | 0.000     |
| 9103  | 0   | 1     | 9102  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000      | 0.210     |
| 9103  | 0   | 1     | 9102  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000      | 0.200     |
| 9103  | 0   | 1     | 9102  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000      | 0.170     |
| 9103  | 0   | 1     | 9102  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000        | 0.005     |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
