+--------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| COUNT  | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+--------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| 6111   | 0   | 6111  | 0     | 0   | 0   | GET    | /                  | 0.004 | 0.088 | 246.508 | 0.040 | 0.052 | 0.056 | 0.064 | 0.010  | 2069.000  | 2493.000    | 14073760.000  | 2303.021  |
| 100111 | 0   | 31268 | 68843 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.100 | 80.844  | 0.001 | 0.004 | 0.004 | 0.008 | 0.002  | 0.000     | 1086666.000 | 194113429.000 | 1938.982  |
| 6187   | 0   | 6187  | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.004 | 0.040 | 47.460  | 0.008 | 0.012 | 0.016 | 0.020 | 0.004  | 672.000   | 860.000     | 4577233.000   | 739.815   |
| 980    | 0   | 980   | 0     | 0   | 0   | GET    | /posts             | 0.012 | 0.076 | 43.518  | 0.044 | 0.056 | 0.060 | 0.068 | 0.010  | 1787.000  | 2052.000    | 1853877.000   | 1891.711  |
| 1120   | 0   | 1120  | 0     | 0   | 0   | GET    | /@\w+              | 0.004 | 0.072 | 36.495  | 0.033 | 0.048 | 0.052 | 0.060 | 0.011  | 1099.000  | 2516.000    | 1886898.000   | 1684.730  |
| 4364   | 0   | 0     | 4364  | 0   | 0   | POST   | /login             | 0.004 | 0.020 | 13.768  | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 822    | 0   | 0     | 411   | 411 | 0   | POST   | /                  | 0.004 | 0.068 | 10.184  | 0.012 | 0.024 | 0.052 | 0.056 | 0.014  | 0.000     | 0.000       | 0.000         | 0.000     |
| 616    | 0   | 0     | 616   | 0   | 0   | POST   | /comment           | 0.004 | 0.020 | 3.064   | 0.005 | 0.008 | 0.012 | 0.016 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 592    | 0   | 0     | 592   | 0   | 0   | POST   | /register          | 0.000 | 0.064 | 2.824   | 0.005 | 0.008 | 0.012 | 0.016 | 0.004  | 0.000     | 0.000       | 0.000         | 0.000     |
| 1556   | 0   | 1556  | 0     | 0   | 0   | GET    | /login             | 0.000 | 0.008 | 2.224   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 615.000   | 615.000     | 956940.000    | 615.000   |
| 592    | 0   | 0     | 0     | 592 | 0   | GET    | /admin/banned      | 0.000 | 0.016 | 1.952   | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000     | 0.000       | 0.000         | 0.000     |
| 1      | 0   | 1     | 0     | 0   | 0   | GET    | /initialize        | 0.880 | 0.880 | 0.880   | 0.880 | 0.880 | 0.880 | 0.880 | 0.000  | 0.000     | 0.000       | 0.000         | 0.000     |
| 778    | 0   | 0     | 778   | 0   | 0   | GET    | /logout            | 0.000 | 0.008 | 0.872   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 24.000    | 24.000      | 18672.000     | 24.000    |
| 9153   | 0   | 1     | 9152  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000        | 0.005     |
| 9153   | 0   | 1     | 9152  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000      | 0.209     |
| 9153   | 0   | 1     | 9152  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000      | 0.199     |
| 9153   | 0   | 1     | 9152  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000      | 0.169     |
+--------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
